exercise,have,resp_time,schedule,walk,location
1,2,2013-04-02 04:43:56,2,1,
3,1,2013-04-03 02:29:00,2,1,
1,2,2013-04-04 02:01:29,2,1,
1,2,2013-04-06 02:15:52,2,1,
3,1,2013-04-04 22:14:30,2,1,
3,1,2013-04-05 02:00:25,2,1,
1,2,2013-04-07 00:51:34,2,1,
3,1,2013-04-08 01:36:11,2,1,
1,2,2013-04-08 22:29:19,2,1,
3,1,2013-04-15 04:34:58,2,1,
3,1,2013-04-09 23:56:38,2,1,
3,1,2013-04-12 00:56:10,2,1,
1,2,2013-04-11 00:07:37,2,1,
3,1,2013-04-17 02:24:16,2,1,
3,1,2013-04-19 04:00:49,2,1,"43.70426635,-72.29067159"
3,1,2013-04-21 02:31:31,2,1,"43.70290451,-72.29009473"
3,1,2013-04-24 07:59:10,2,1,"43.70440331,-72.29084007"
1,2,2013-04-27 00:00:14,2,1,"42.34645192,-71.06042379"
3,1,2013-05-08 00:02:29,2,1,"43.70402702,-72.2905121"
1,2,2013-05-27 20:05:57,1,1,Unknown
