exercise,have,resp_time,schedule,walk,location
3,2,2013-04-02 22:14:05,1,3,
1,2,2013-04-03 02:10:53,2,2,
1,2,2013-04-04 02:11:26,2,3,
1,2,2013-04-03 21:24:11,2,3,
1,2,2013-04-04 23:29:43,2,2,
1,2,2013-04-05 02:21:04,2,2,
1,2,2013-04-05 16:45:41,2,2,
1,2,2013-04-07 00:21:10,2,3,
1,2,2013-04-06 09:25:46,2,3,
1,2,2013-04-07 18:06:50,2,3,
1,2,2013-04-08 01:38:21,2,2,
1,2,2013-04-09 07:03:41,2,3,
1,2,2013-04-17 02:08:05,2,3,
1,2,2013-04-10 06:36:02,2,3,
1,2,2013-04-11 02:34:43,2,2,
1,2,2013-04-15 08:28:59,2,1,
3,1,2013-04-18 16:37:10,2,3,
3,1,2013-04-19 04:04:35,2,3,"43.69213733,-72.26689796"
1,2,2013-04-19 21:11:36,2,3,"43.70311929,-72.28220394"
1,2,2013-04-21 02:14:49,2,3,"43.70938367,-72.28461173"
1,2,2013-04-21 17:09:09,2,2,"43.6926262,-72.26656479"
1,2,2013-04-22 04:26:28,2,3,"43.69210219,-72.26702034"
1,2,2013-04-24 07:06:04,2,3,"43.69236557,-72.26688975"
1,2,2013-04-25 02:49:56,2,3,"43.69935873,-72.28135033"
1,2,2013-04-26 03:09:42,2,3,"43.6920329,-72.26703169"
1,2,2013-04-27 05:08:14,2,3,"43.69223254,-72.26690047"
1,2,2013-04-28 00:25:25,2,2,Unknown
1,2,2013-04-29 02:54:59,2,2,"43.69149444,-72.26930575"
1,2,2013-05-01 02:36:05,2,2,"43.69226652,-72.2670805"
1,2,2013-05-02 02:47:10,2,2,"43.69226178,-72.26680454"
1,2,2013-05-04 03:30:47,2,2,"43.70976741,-72.28416244"
1,2,2013-05-09 06:08:56,2,2,"43.69230186,-72.26682816"
1,2,2013-05-08 04:24:57,2,2,"43.70672846,-72.28635162"
1,2,2013-05-06 01:04:53,2,2,"43.70697752,-72.28728895"
3,1,2013-05-10 04:47:17,2,2,"43.69233024,-72.26686976"
1,2,2013-05-16 04:29:13,2,2,"43.6922921,-72.26685465"
1,2,2013-05-12 04:30:34,2,2,Unknown
1,2,2013-05-17 05:56:37,2,2,"43.69430156,-72.26583813"
1,2,2013-05-15 01:00:49,2,2,"43.69175278,-72.26719117"
1,2,2013-05-19 01:47:49,2,2,"43.692126,-72.26679446"
1,2,2013-05-21 05:10:21,2,2,"43.69227685,-72.26694425"
1,2,2013-05-22 04:58:46,2,2,"43.69245721,-72.26707397"
1,2,2013-05-24 17:20:59,2,2,"43.69222786,-72.26719913"
1,2,2013-05-31 21:15:47,2,2,"43.69232465,-72.26672118"
