level,location,resp_time,null
3.0,"43.70712148268646,-72.29087061546424",2013-03-30 22:06:35,
,,2013-03-24 10:45:11,1
,,2013-03-24 10:37:06,1
,,2013-03-24 10:37:09,1
,,2013-03-24 09:53:34,"43.70633605,-72.28701846"
,,2013-03-24 10:37:08,"43.70633605,-72.28701846"
3.0,"43.70286921804329,-72.29096447310383",2013-03-29 22:01:34,
3.0,"43.70697950348372,-72.29051295213978",2013-03-29 06:01:14,
3.0,"43.70711283219849,-72.29060053949401",2013-03-31 06:52:53,
4.0,"43.70700745335506,-72.29084036869996",2013-04-01 06:35:30,
1.0,"43.70706300122456,-72.29071133138713",2013-03-31 17:43:25,
4.0,"43.70290214550227,-72.28830755493017",2013-03-31 22:36:02,
4.0,"43.70338315129848,-72.2868059778217",2013-04-02 18:44:22,
2.0,"43.70687860896128,-72.29020296287611",2013-04-04 02:04:54,
3.0,Unknown,2013-04-03 06:57:58,
1.0,"43.707146987999685,-72.29072620916767",2013-04-03 00:39:42,
4.0,"43.707160898813775,-72.29070505330372",2013-04-04 06:01:51,
2.0,"43.70602807141132,-72.28961758062928",2013-04-05 00:03:18,
2.0,"43.708982659046605,-72.2843149049884",2013-04-08 20:02:50,
4.0,"43.47757182567488,-72.10256690864196",2013-04-06 02:08:07,
1.0,"42.29546402163234,-71.30295639597999",2013-04-06 04:54:22,
5.0,"42.370239251465904,-71.10342783989697",2013-04-07 02:27:23,
5.0,"42.370239251465904,-71.10342783989697",2013-04-07 19:05:04,
4.0,"43.49025206949308,-72.12389271409735",2013-04-08 02:38:21,
5.0,"43.70711731415267,-72.29072277676832",2013-04-09 08:09:31,
1.0,Unknown,2013-04-12 22:00:54,
5.0,"43.70321966184834,-72.2876130893634",2013-04-10 22:58:24,
4.0,Unknown,2013-04-17 08:52:26,
5.0,"43.7018118286106,-72.29161681150576",2013-04-11 22:54:01,
1.0,"43.7072992593127,-72.2906748446873",2013-04-16 14:13:46,
4.0,Unknown,2013-04-13 06:02:05,
4.0,"43.3234793107557,-71.89585453779365",2013-04-13 20:01:50,
5.0,"43.3234793107557,-71.89585453779365",2013-04-13 22:05:43,
4.0,"43.7071109068227,-72.2914545142832",2013-04-14 22:06:13,
4.0,"43.70656760603712,-72.28865405876007",2013-04-15 20:29:25,
3.0,"43.70640678661577,-72.28864750944315",2013-04-18 04:38:21,
4.0,"43.701421570093544,-72.28795281856759",2013-04-18 08:30:49,
1.0,"43.707174691260356,-72.29053700570506",2013-04-20 05:01:02,
5.0,"43.70328375766367,-72.29034840992854",2013-04-23 08:03:05,
2.0,"43.70752142691439,-72.2850969741643",2013-04-26 18:03:29,
4.0,"43.707177085284,-72.29076125031246",2013-04-29 04:00:22,
5.0,"43.7031158938812,-72.28458623995706",2013-04-30 04:07:35,
5.0,"43.707054622192715,-72.29123417743249",2013-04-30 00:03:09,
1.0,"43.701388955529055,-72.28811580508359",2013-05-02 05:00:37,
4.0,"43.70224443737123,-72.28865005777988",2013-05-01 05:16:29,
1.0,"43.70707845592363,-72.29075065434971",2013-05-10 07:54:21,
4.0,Unknown,2013-05-08 18:59:13,
3.0,"43.707177072888065,-72.29092730930216",2013-05-04 22:01:23,
5.0,"43.70565234028792,-72.28963802288838",2013-05-07 18:06:58,
4.0,"43.70578575320415,-72.28875349174373",2013-05-10 20:10:11,
3.0,"43.705985547631826,-72.2890841770398",2013-05-07 06:02:00,
4.0,"43.70710317696059,-72.29077723160351",2013-05-06 04:54:28,
5.0,"43.706435405984664,-72.28987583319213",2013-05-17 02:11:27,
1.0,"43.707109166321544,-72.29076892187575",2013-05-13 04:00:35,
2.0,"43.7059528775494,-72.28796572137354",2013-05-15 02:17:52,
5.0,"43.70600375009001,-72.28871367120003",2013-05-18 02:06:26,
5.0,"43.70728455517431,-72.2906448611393",2013-05-18 06:32:54,
5.0,"43.70741188459706,-72.29075012880249",2013-05-19 20:21:47,
2.0,"43.707177235290146,-72.29055983606771",2013-05-18 19:43:04,
1.0,"43.70726994377907,-72.29067645819752",2013-05-20 23:31:11,
5.0,Unknown,2013-05-23 04:02:43,
4.0,"43.70716117171132,-72.2907325334663",2013-05-23 19:14:22,
4.0,"43.70536949189704,-72.2894110901644",2013-05-24 05:00:36,
1.0,"43.70730262660705,-72.29076807376563",2013-05-27 00:59:04,
5.0,"43.70719884051104,-72.29071075450138",2013-05-30 04:56:51,
2.0,"43.7072259238806,-72.29061095852634",2013-05-31 07:52:44,
