level,location,resp_time,null
2.0,"43.70607287,-72.28325301",2013-03-30 21:19:50,
,,2013-03-24 10:17:41,Unknown
,,2013-03-24 10:43:54,1
,,2013-03-24 10:05:22,1
,,2013-03-24 09:53:34,1
,,2013-03-24 10:29:51,1
4.0,Unknown,2013-04-03 01:50:19,
1.0,"43.70792494,-72.28343557",2013-03-27 23:51:42,
1.0,"43.70763263,-72.28367016",2013-03-28 19:58:22,
1.0,"43.70813907,-72.28399749",2013-03-28 23:59:11,
1.0,"43.70789343,-72.28376628",2013-03-29 21:32:49,
1.0,"43.70789343,-72.28376628",2013-03-29 22:00:20,
2.0,"43.63617769,-72.29025689",2013-04-01 06:22:52,
1.0,"43.40062634,-72.01627429",2013-04-01 06:22:48,
1.0,"43.70548582,-72.2830986",2013-04-03 06:57:04,
3.0,"43.70576878,-72.28345137",2013-04-05 00:02:55,
4.0,"43.70566198,-72.28316567",2013-04-05 06:51:12,
2.0,"43.70652295,-72.28353758",2013-04-06 03:05:04,
1.0,"43.70559102,-72.283134",2013-04-09 10:06:15,
1.0,"43.70601049,-72.28324145",2013-04-13 22:54:42,
2.0,"43.70560153,-72.28299438",2013-04-15 02:14:10,
1.0,"43.7056927,-72.28349406",2013-04-15 23:26:47,
2.0,"43.70623788,-72.2829873",2013-04-16 12:26:19,
1.0,"43.70552167,-72.2830477",2013-04-19 06:38:47,
1.0,"43.69337144,-72.27322384",2013-04-21 23:08:47,
1.0,"43.01160902,-71.43617088",2013-04-21 23:08:49,
4.0,"43.70578594,-72.28313898",2013-04-23 11:09:39,
1.0,"43.70549385,-72.28318108",2013-04-25 18:13:09,
1.0,"43.70550978,-72.28307511",2013-04-29 13:56:02,
2.0,"43.70554928,-72.28354239",2013-04-29 21:43:00,
1.0,"43.70559913,-72.28309466",2013-04-30 05:34:58,
1.0,"43.70535929,-72.28299755",2013-05-01 06:15:43,
1.0,"43.70670894,-72.28704749",2013-05-02 05:00:10,
1.0,"43.70585701,-72.28311707",2013-05-07 18:45:49,
1.0,"43.70675386,-72.28641585",2013-05-09 04:26:01,
2.0,"43.70542822,-72.28305246",2013-05-16 02:16:37,
3.0,"43.70528508,-72.28284423",2013-05-16 21:53:04,
1.0,Unknown,2013-05-08 18:15:30,
1.0,"43.70560121,-72.28300542",2013-05-07 10:42:24,
1.0,"43.70356731,-72.28790087",2013-05-15 19:56:00,
2.0,"43.70561082,-72.28332157",2013-05-18 02:27:58,
1.0,"43.70553153,-72.28311978",2013-05-20 08:01:19,
1.0,"43.70824244,-72.28391956",2013-05-22 19:15:13,
