null,resp_time,level,location
3,2013-03-24 10:40:32,,
"43.70449557,-72.28841917",2013-03-24 10:37:13,,
1,2013-03-24 10:37:15,,
"43.70635427,-72.28706686",2013-03-24 09:51:36,,
3,2013-03-24 10:37:11,,
,2013-03-29 23:15:00,1.0,Unknown
,2013-04-05 06:07:09,4.0,"43.70679119601846,-72.28743245825171"
,2013-04-12 23:08:22,1.0,"43.702436378225684,-72.28887028992176"
,2013-04-17 09:40:16,1.0,"43.6814654013142,-72.32193010859191"
,2013-04-13 23:08:44,2.0,"43.68140639271587,-72.32202088460326"
,2013-04-18 04:40:30,1.0,"43.681411002762616,-72.32202155515552"
,2013-04-18 08:47:33,4.0,"43.68123858701438,-72.32162551023066"
,2013-04-30 04:31:04,2.0,"43.70663252659142,-72.28676768951118"
,2013-04-30 00:00:24,2.0,"43.70665293652564,-72.28699249215424"
,2013-05-03 05:44:19,1.0,Unknown
,2013-05-20 05:09:45,1.0,"43.68147579487413,-72.32193337753415"
,2013-05-23 19:22:05,4.0,"43.7070740852505,-72.28581625968218"
,2013-05-24 19:20:22,1.0,"43.68153224699199,-72.32217259705067"
