level,location,resp_time
4,Unknown,2013-03-31 03:47:36
4,Unknown,2013-03-31 22:12:45
1,"43.702606027945876,-72.2895226534456",2013-03-29 22:54:59
1,"43.70566922,-72.29087336",2013-04-02 16:49:46
5,"43.70492743,-72.2901242",2013-04-04 02:28:30
1,Unknown,2013-03-31 00:20:54
1,"43.70600279420614,-72.28865772485733",2013-03-27 03:45:59
1,"43.70600279420614,-72.28865772485733",2013-03-27 03:45:56
4,"43.70600279420614,-72.28865772485733",2013-03-27 05:44:54
1,"43.702606027945876,-72.2895226534456",2013-03-29 19:03:55
1,"43.70151604525745,-72.2881496977061",2013-03-28 00:43:11
1,"43.70241567492485,-72.28768064640462",2013-03-27 20:25:15
1,"43.704426074400544,-72.28965751826763",2013-03-27 16:17:34
2,Unknown,2013-03-27 09:40:05
4,"43.70770620647818,-72.28489374741912",2013-03-27 17:57:18
4,"43.70151604525745,-72.2881496977061",2013-03-28 05:31:41
1,"43.702606027945876,-72.2895226534456",2013-03-28 16:34:17
4,"43.702606027945876,-72.2895226534456",2013-03-28 19:26:14
5,"43.702606027945876,-72.2895226534456",2013-03-28 22:00:32
1,"43.702606027945876,-72.2895226534456",2013-03-28 09:31:50
1,"43.702606027945876,-72.2895226534456",2013-03-28 09:32:35
2,"43.702606027945876,-72.2895226534456",2013-03-29 07:25:25
4,"43.702606027945876,-72.2895226534456",2013-03-29 09:54:17
1,"43.702606027945876,-72.2895226534456",2013-03-29 18:07:32
4,"43.702606027945876,-72.2895226534456",2013-03-29 20:51:10
4,"43.702606027945876,-72.2895226534456",2013-03-29 16:53:50
5,"43.70397214,-72.29027069",2013-04-03 21:40:30
5,Unknown,2013-03-30 00:02:02
1,Unknown,2013-03-30 23:38:56
1,"43.70763698,-72.2908901",2013-04-03 00:55:31
4,Unknown,2013-03-30 22:13:47
1,"43.70295231,-72.29014782",2013-03-31 09:35:27
1,"43.70559317,-72.2881232",2013-03-30 23:41:03
4,"43.70307389,-72.28977689",2013-03-31 12:03:56
1,"43.70351572,-72.28960285",2013-04-01 22:53:47
1,"43.70295231,-72.29014782",2013-03-31 07:27:49
1,"43.70295231,-72.29014782",2013-03-31 09:37:45
4,"43.70563006,-72.29085119",2013-03-31 21:46:09
1,Unknown,2013-03-31 22:00:15
1,"43.70351572,-72.28960285",2013-04-01 20:45:00
4,"43.7025121,-72.28898705",2013-04-01 09:09:34
4,"43.70492743,-72.2901242",2013-04-03 22:59:23
1,"43.7025121,-72.28898705",2013-04-01 02:47:30
5,"43.7055138,-72.28774539",2013-04-01 19:06:02
4,"43.70572549,-72.29076597",2013-04-03 17:59:44
1,"43.70492743,-72.2901242",2013-04-04 01:12:20
1,"43.70351572,-72.28960285",2013-04-01 23:50:27
4,"43.70351572,-72.28960285",2013-04-02 00:31:38
1,"43.70351572,-72.28960285",2013-04-02 04:34:05
1,"43.70643289,-72.2865904",2013-04-02 07:16:10
4,"43.70572549,-72.29076597",2013-04-03 19:06:33
1,"43.7052441,-72.29056065",2013-04-03 16:21:35
1,"43.70348925,-72.28865624",2013-04-02 20:54:05
1,"43.70763698,-72.2908901",2013-04-03 00:55:38
1,"43.70348925,-72.28865624",2013-04-02 23:53:04
1,"43.70348925,-72.28865624",2013-04-02 23:53:40
1,"43.70763698,-72.2908901",2013-04-03 03:57:51
1,"43.7052441,-72.29056065",2013-04-03 05:58:46
1,"43.7052441,-72.29056065",2013-04-03 06:57:56
4,"43.70572549,-72.29076597",2013-04-03 17:07:44
4,"43.70492743,-72.2901242",2013-04-04 04:09:59
1,"43.70492743,-72.2901242",2013-04-04 07:33:16
1,"43.7035497,-72.28791333",2013-04-04 18:57:58
1,"43.7035497,-72.28791333",2013-04-04 17:58:51
1,"43.70307048,-72.29134056",2013-04-05 00:06:28
1,"43.70509155560285,-72.28950991295278",2013-04-05 00:41:22
1,"43.70619553606957,-72.28953782469034",2013-04-06 05:37:35
2,"43.70590191800147,-72.28983261622488",2013-04-05 02:04:37
2,"43.70497429277748,-72.29044700972736",2013-04-05 03:26:03
2,"43.70497429277748,-72.29044700972736",2013-04-05 04:02:10
1,"43.70590191800147,-72.28983261622488",2013-04-05 00:44:25
1,"43.702687877230346,-72.29002338834107",2013-04-05 09:35:06
1,"43.70497429277748,-72.29044700972736",2013-04-05 06:27:41
3,"43.702687877230346,-72.29002338834107",2013-04-05 11:37:52
1,"43.70539468713105,-72.29043569415808",2013-04-05 23:43:38
1,"43.7060222402215,-72.29019781574607",2013-04-08 06:00:45
4,"43.70410232339054,-72.28721008636057",2013-04-05 16:52:01
1,"43.70550360996276,-72.29067164473236",2013-04-06 00:00:43
1,"43.705437518656254,-72.29089770466089",2013-04-05 15:58:26
1,"43.70736854150891,-72.28518761694431",2013-04-05 18:04:30
1,"43.70701059233397,-72.28998483158648",2013-04-06 02:01:36
1,Unknown,2013-04-07 08:07:28
1,"43.70619553606957,-72.28953782469034",2013-04-06 06:06:00
5,"43.703158563002944,-72.29066770523787",2013-04-07 05:44:41
1,Unknown,2013-04-07 12:43:49
1,"43.70573427993804,-72.2908112872392",2013-04-07 00:13:26
1,"43.70573427993804,-72.2908112872392",2013-04-07 02:12:39
