null,resp_time,level,location
4,2013-03-24 10:53:56,,
"43.70450324,-72.2884118",2013-03-24 10:53:52,,
"43.70450324,-72.2884118",2013-03-24 10:53:57,,
5,2013-03-24 10:53:54,,
1,2013-03-24 10:53:51,,
,2013-03-27 20:11:23,4.0,"43.70751491,-72.28694759"
,2013-03-27 23:12:02,5.0,"43.70751491,-72.28694759"
,2013-03-27 18:35:01,4.0,"43.70751491,-72.28694759"
,2013-03-28 20:08:03,4.0,"43.70751491,-72.28694759"
,2013-03-28 22:03:36,1.0,"43.70751491,-72.28694759"
,2013-03-30 01:03:00,4.0,"43.70751491,-72.28694759"
,2013-03-30 22:03:22,4.0,"43.70486983,-72.29032605"
,2013-03-31 07:09:07,1.0,"42.69942036,-71.43609676"
