level,location,resp_time
1,"43.70617863,-72.2833309",2013-03-28 00:31:18
1,"43.70905195,-72.28409851",2013-03-28 22:00:15
1,"43.7062076,-72.28328095",2013-03-29 22:12:10
4,"43.70634,-72.28339968",2013-03-30 22:37:38
1,"43.70850694,-72.28242346",2013-03-31 23:09:16
1,"43.70644926,-72.2830292",2013-04-03 01:04:36
1,"43.70602238,-72.28319327",2013-04-03 06:00:14
2,"43.70614906,-72.28328468",2013-04-04 00:02:55
2,"43.70610238,-72.28323437",2013-04-05 00:44:07
1,"43.70660035,-72.28709394",2013-04-05 06:30:39
1,"43.70610012,-72.28338585",2013-04-06 00:28:14
1,"43.70539822,-72.28337697",2013-04-08 02:11:58
1,"43.70621469,-72.28358566",2013-04-09 08:00:11
5,"43.70605153,-72.28297703",2013-04-09 04:18:28
1,"43.70339868,-72.28758021",2013-04-09 23:09:25
5,"43.70520839,-72.28318039",2013-04-12 22:40:22
2,"43.70645524,-72.28313281",2013-04-18 04:11:42
2,"43.70622518,-72.28344042",2013-04-17 16:17:49
1,"43.70632,-72.28343388",2013-04-13 22:00:08
1,"42.35210041,-71.05824634",2013-04-11 22:35:39
2,"43.70620341,-72.28324609",2013-04-14 21:05:04
2,"43.70644296,-72.28311154",2013-04-15 00:57:08
1,"43.70839358,-72.2822233",2013-04-15 22:49:32
2,"43.70605327,-72.2833139",2013-04-16 16:00:28
2,"43.62901677,-72.34275418",2013-04-17 02:32:46
2,"43.70645524,-72.28313281",2013-04-18 08:00:10
1,"43.70616591,-72.28331609",2013-04-19 19:38:28
5,"43.70614787,-72.2833544",2013-04-21 04:35:06
2,"43.70626803,-72.2833694",2013-04-22 01:53:20
1,"43.70608187,-72.28350064",2013-04-24 05:01:03
5,"43.70622504,-72.283143",2013-04-23 14:52:31
1,"43.70624937,-72.28311289",2013-04-23 06:04:59
2,"43.70612936,-72.28296101",2013-04-26 18:00:35
2,"43.70614215,-72.28325918",2013-04-30 05:40:14
2,"43.70624628,-72.28318773",2013-04-28 20:00:25
2,"43.70617988,-72.28333935",2013-04-29 05:19:10
1,"43.7061313,-72.28319902",2013-04-29 21:37:09
1,"43.70624549,-72.28318405",2013-05-15 19:32:20
2,"43.70620804,-72.28331063",2013-05-08 11:12:12
1,"43.70601095,-72.28337169",2013-05-07 08:31:24
2,"43.70614526,-72.28332656",2013-05-08 18:03:47
2,"43.70764567,-72.28341927",2013-05-17 02:39:04
2,"43.70601095,-72.28337169",2013-05-07 19:23:13
2,"43.70058933,-72.28929853",2013-05-06 04:00:10
5,"43.70647378,-72.28294033",2013-05-13 03:45:21
1,"43.70609946,-72.28325533",2013-05-14 19:52:01
2,"43.70621718,-72.28293019",2013-05-16 21:55:22
2,"43.70615341,-72.28335377",2013-05-17 19:53:43
2,"43.7061458,-72.28299551",2013-05-20 08:57:45
2,"43.70909904,-72.28186328",2013-05-21 07:07:00
1,"43.70638908,-72.28324332",2013-05-21 20:00:29
1,"43.7062243,-72.28296326",2013-05-22 08:12:04
2,"43.70694322,-72.28640413",2013-05-23 09:00:04
1,"43.70622433,-72.28334234",2013-05-28 22:17:40
2,"43.70605751,-72.28339763",2013-05-23 19:58:21
