null,resp_time,level,location
"43.70499676,-72.28851178",2013-03-24 10:37:35,,
3,2013-03-24 10:43:12,,
3,2013-03-24 10:37:31,,
1,2013-03-24 10:37:33,,
,2013-03-30 18:58:48,1.0,"43.70503113,-72.28694162"
,2013-03-27 23:18:34,4.0,"43.70612113,-72.28723353"
,2013-03-28 23:59:53,4.0,"43.70585573,-72.28782999"
,2013-03-29 19:22:50,1.0,"43.70509271,-72.28680761"
,2013-03-29 22:43:58,1.0,"43.70476995,-72.28703971"
,2013-03-30 09:52:20,1.0,"43.70499355,-72.28677683"
,2013-04-01 10:22:31,2.0,"43.70516844,-72.28680259"
,2013-04-04 00:11:12,2.0,"43.7049256,-72.28632081"
,2013-04-03 00:21:50,2.0,"43.70481251,-72.28700429"
,2013-04-03 08:50:13,2.0,"43.70454413,-72.28762801"
,2013-04-04 06:26:14,2.0,"43.70169949,-72.28842649"
,2013-04-06 10:35:15,2.0,"43.70559171,-72.28793682"
,2013-04-05 00:29:11,2.0,"43.70645868,-72.28793942"
,2013-04-08 02:02:51,2.0,"43.7044612,-72.28747684"
,2013-04-14 22:00:16,2.0,"43.70535921,-72.28680155"
,2013-04-09 08:19:16,2.0,"43.70477259,-72.28698419"
,2013-04-09 04:40:05,2.0,"43.70477259,-72.28698419"
,2013-04-16 04:54:32,2.0,"43.70503851,-72.286132"
,2013-04-10 22:01:54,2.0,"43.70583044,-72.28799584"
,2013-04-11 22:47:48,2.0,"43.70511041,-72.28702345"
,2013-04-12 22:00:05,2.0,"43.70460577,-72.28671025"
,2013-04-13 22:01:32,2.0,"43.70479551,-72.28651612"
,2013-04-17 04:31:26,2.0,"43.70592937,-72.28768546"
,2013-04-15 20:54:53,2.0,"43.70545641,-72.28669002"
,2013-04-17 15:57:14,2.0,"43.70498624,-72.28674182"
,2013-04-18 04:15:29,2.0,"43.70477806,-72.28678985"
,2013-04-20 10:08:35,2.0,"43.70436864,-72.28785436"
,2013-04-26 18:00:17,2.0,"43.70583168,-72.28766214"
,2013-04-30 04:35:15,2.0,"43.70475846,-72.28677902"
,2013-04-29 01:38:16,2.0,"42.34885369,-71.13112232"
,2013-04-29 06:51:57,2.0,"42.34885369,-71.13112232"
,2013-04-29 20:00:12,3.0,"43.70507579,-72.28712698"
,2013-04-30 01:16:26,3.0,"43.70694836,-72.2874538"
,2013-05-08 18:02:35,3.0,"43.70483028,-72.286845"
,2013-05-08 16:03:14,3.0,"43.70483028,-72.286845"
,2013-05-09 05:41:08,3.0,"43.70512664,-72.28785661"
,2013-05-20 05:03:28,3.0,Unknown
