level,location,resp_time,null
2.0,"43.70644884,-72.28820168",2013-03-30 02:07:48,
1.0,"43.70241112,-72.28788985",2013-04-01 07:19:02,
1.0,"43.70243257,-72.28772434",2013-03-31 22:57:17,
,,2013-03-24 10:31:39,4
,,2013-03-24 09:49:24,"43.70621142,-72.28697323"
,,2013-03-24 10:04:19,2
,,2013-03-24 10:28:19,"43.70621142,-72.28697323"
,,2013-03-24 10:19:59,"43.70621142,-72.28697323"
,,2013-03-24 10:42:56,"43.70621142,-72.28697323"
4.0,"43.70710471,-72.28730696",2013-04-02 02:32:04,
1.0,"43.70679334,-72.28767766",2013-04-02 18:56:33,
2.0,"43.70681191,-72.28712581",2013-03-28 00:01:02,
1.0,"43.70644884,-72.28820168",2013-03-30 02:07:51,
1.0,"43.70647211,-72.28802604",2013-03-30 02:07:45,
4.0,"43.70644884,-72.28820168",2013-03-30 02:07:49,
1.0,"43.70644884,-72.28820168",2013-03-30 04:28:19,
4.0,"43.7026033,-72.28671544",2013-03-31 04:07:33,
4.0,"43.70312458,-72.28787646",2013-03-31 03:11:14,
1.0,"43.70312458,-72.28787646",2013-03-30 23:52:25,
4.0,"43.70312458,-72.28787646",2013-03-30 22:01:58,
1.0,"43.7026033,-72.28671544",2013-03-31 16:31:29,
4.0,"43.70268506,-72.2871776",2013-03-31 17:47:31,
1.0,"43.70344498,-72.28622861",2013-04-01 03:35:10,
4.0,Unknown,2013-04-03 05:55:20,
4.0,"43.70241112,-72.28788985",2013-04-01 08:50:52,
4.0,"43.70241112,-72.28788985",2013-04-01 16:32:35,
4.0,Unknown,2013-04-03 05:55:19,
1.0,"43.70679334,-72.28767766",2013-04-03 00:01:46,
5.0,Unknown,2013-04-03 06:19:50,
4.0,"43.70613435,-72.28844824",2013-04-04 01:58:01,
1.0,"43.70168352,-72.28807511",2013-04-04 18:50:07,
1.0,"43.70168352,-72.28807511",2013-04-04 08:01:51,
1.0,"43.70168352,-72.28807511",2013-04-04 17:48:38,
1.0,"43.70173422,-72.28775943",2013-04-05 01:30:58,
2.0,"43.70785919,-72.28512608",2013-04-05 00:11:45,
1.0,"43.70173422,-72.28775943",2013-04-05 08:04:55,
1.0,"43.70173422,-72.28775943",2013-04-05 16:35:56,
2.0,"43.70173422,-72.28775943",2013-04-06 00:15:46,
4.0,"43.70173422,-72.28775943",2013-04-06 02:00:50,
4.0,"43.70464259,-72.28795732",2013-04-06 07:47:38,
1.0,"43.70336268,-72.28777469",2013-04-07 01:59:22,
4.0,"43.70464259,-72.28795732",2013-04-06 16:45:23,
4.0,"43.70336268,-72.28777469",2013-04-07 17:51:19,
1.0,"43.70336268,-72.28777469",2013-04-07 08:05:12,
1.0,"43.70238375,-72.28772441",2013-04-08 02:17:43,
5.0,"43.70238375,-72.28772441",2013-04-08 04:25:53,
4.0,"43.70238375,-72.28772441",2013-04-08 05:50:48,
4.0,"43.70238375,-72.28772441",2013-04-08 16:30:31,
4.0,"43.70238375,-72.28772441",2013-04-09 02:14:23,
