null,resp_time,level,location
1,2013-03-24 09:52:32,,
1,2013-03-24 10:50:36,,
"43.70508056,-72.28851205",2013-03-24 10:50:37,,
"43.70508056,-72.28851205",2013-03-24 10:50:39,,
1,2013-03-24 10:50:33,,
"43.70508056,-72.28851205",2013-03-24 10:50:35,,
,2013-04-08 00:42:06,5.0,"43.01433773,-72.34858847"
,2013-04-08 03:54:40,4.0,"43.01433773,-72.34858847"
,2013-04-08 22:41:33,1.0,"43.01433773,-72.34858847"
,2013-04-09 04:03:32,1.0,"43.01433773,-72.34858847"
,2013-04-09 08:42:45,5.0,"43.71653168,-72.30894632"
,2013-04-10 18:48:28,5.0,"43.71677665,-72.30926871"
,2013-04-11 01:24:12,2.0,"43.7167643,-72.3092846"
,2013-04-13 00:58:55,1.0,"43.71190002,-72.30815066"
,2013-04-17 05:21:51,5.0,"43.71670486,-72.3094297"
,2013-04-15 22:07:40,2.0,"43.71660508,-72.30929384"
,2013-04-16 04:39:31,2.0,"43.71660508,-72.30929384"
,2013-04-20 05:32:48,5.0,"43.71400653,-72.30839143"
,2013-04-21 07:51:32,1.0,"43.71646049,-72.30899963"
,2013-04-26 18:18:06,5.0,"43.71664273,-72.30936718"
,2013-05-02 06:55:28,1.0,"43.7163913,-72.30921545"
,2013-05-04 06:29:56,5.0,"43.71658574,-72.30922293"
,2013-05-19 19:21:55,5.0,Unknown
,2013-05-28 04:42:59,2.0,"43.70361704,-72.30182479"
,2013-06-04 06:17:12,4.0,"43.71654905,-72.30960914"
