null,resp_time,level,location
1,2013-03-24 10:37:16,,
"43.70504407,-72.28850039",2013-03-24 10:37:14,,
"43.70629026,-72.28706922",2013-03-24 09:56:30,,
"43.70662717,-72.28978234",2013-03-24 10:37:18,,
"43.70651883,-72.28674013",2013-03-24 10:46:51,,
,2013-03-28 22:32:18,1.0,"43.70385544,-72.2958007"
,2013-03-30 08:27:33,1.0,"43.70237152,-72.28782522"
,2013-04-04 06:03:38,2.0,"43.70439531,-72.29538287"
,2013-04-05 00:01:35,3.0,"43.70280446,-72.29102992"
,2013-04-05 09:47:19,1.0,"43.70607312,-72.28941569"
,2013-04-06 00:06:05,1.0,"43.70607312,-72.28941569"
,2013-04-06 20:12:32,4.0,"43.99772998,-71.87488227"
,2013-04-17 08:14:46,4.0,"43.70620298,-72.28867813"
,2013-04-10 01:34:21,1.0,"42.99131275,-89.56850017"
,2013-04-10 22:00:26,1.0,Unknown
,2013-04-12 23:07:08,2.0,"43.70825863,-72.28467568"
,2013-04-11 21:59:56,1.0,Unknown
,2013-04-13 22:17:54,4.0,Unknown
,2013-04-15 20:01:15,1.0,"43.70684315,-72.28727941"
,2013-04-16 08:30:00,1.0,"43.70684315,-72.28727941"
,2013-04-23 08:01:01,2.0,"43.70476684,-72.28878338"
,2013-04-30 00:00:16,3.0,"43.70383078,-72.29584402"
,2013-05-02 05:11:21,1.0,"43.7049972,-72.29464306"
,2013-05-09 18:25:24,1.0,"43.7045987,-72.2948587"
,2013-05-09 04:00:39,4.0,"43.70425525,-72.29091213"
