level,location,resp_time,null
3.0,"43.70411722,-72.29047127",2013-03-31 02:40:52,
,,2013-03-24 10:50:41,2
,,2013-03-24 10:50:36,2
,,2013-03-24 10:50:43,"43.70629505,-72.28825598"
,,2013-03-24 10:50:37,"43.70482498,-72.2884041"
,,2013-03-24 10:50:39,"43.70482498,-72.2884041"
,,2013-03-24 10:50:39,2
1.0,"43.70665178,-72.28678516",2013-03-27 07:35:32,
1.0,"43.70466197,-72.28980065",2013-03-27 22:03:18,
5.0,"43.70256935,-72.28790785",2013-03-28 07:20:12,
4.0,"43.70301015,-72.2907521",2013-03-28 03:06:40,
5.0,"43.70256935,-72.28790785",2013-03-28 10:00:35,
1.0,"43.70399272,-72.29051569",2013-03-29 01:28:51,
4.0,"43.70414927,-72.29076226",2013-03-29 17:48:32,
1.0,"43.7086476,-72.28468996",2013-03-29 23:38:15,
2.0,"43.7086476,-72.28468996",2013-03-30 00:21:29,
1.0,"43.70411722,-72.29047127",2013-03-31 10:15:33,
3.0,"43.70424862,-72.29040642",2013-03-30 04:41:24,
1.0,"43.70411722,-72.29047127",2013-03-31 02:40:53,
1.0,"43.70303667,-72.29086341",2013-03-31 22:07:10,
4.0,"43.70357146,-72.29017646",2013-03-31 20:33:06,
1.0,"43.70397877,-72.29023959",2013-04-01 08:45:56,
4.0,"43.70417513,-72.29017786",2013-04-03 07:16:53,
1.0,"43.7040117,-72.29030024",2013-04-01 22:52:53,
1.0,"43.7040117,-72.29030024",2013-04-02 04:44:10,
4.0,"43.70407922,-72.29020632",2013-04-03 00:01:23,
1.0,"43.70594306,-72.28855419",2013-04-04 05:19:20,
1.0,"43.70594306,-72.28855419",2013-04-04 06:13:01,
4.0,"43.70400449,-72.29016096",2013-04-04 20:25:08,
1.0,"43.70277968,-72.28478736",2013-04-05 00:00:23,
5.0,"43.70407347,-72.29009938",2013-04-08 17:38:25,
1.0,"43.70405335,-72.29024681",2013-04-06 00:38:34,
5.0,"43.70434883,-72.29055101",2013-04-07 06:29:33,
4.0,Unknown,2013-04-08 02:04:46,
4.0,"43.70306765,-72.29085617",2013-04-09 08:28:00,
4.0,"43.70418536,-72.29015097",2013-04-09 22:21:11,
4.0,"43.70458274,-72.29070844",2013-04-10 18:25:25,
1.0,"43.70458274,-72.29070844",2013-04-11 00:07:26,
4.0,"43.70412073,-72.29025745",2013-04-11 07:54:15,
1.0,"43.70414838,-72.29074049",2013-04-12 22:28:12,
4.0,"43.70464858,-72.29198064",2013-04-11 23:11:09,
1.0,"43.70385961,-72.28977364",2013-04-12 07:39:48,
4.0,"43.70393355,-72.29005374",2013-04-13 02:44:03,
2.0,"43.70323331,-72.29018729",2013-04-13 23:23:54,
1.0,"43.70408869,-72.29048838",2013-04-14 21:44:02,
1.0,"43.70408869,-72.29048838",2013-04-14 23:37:31,
1.0,"43.70389866,-72.29006061",2013-04-16 00:37:43,
1.0,"43.70389866,-72.29006061",2013-04-15 21:46:19,
1.0,"43.70389866,-72.29006061",2013-04-16 08:00:08,
1.0,"43.70139526,-72.28817562",2013-04-17 05:19:01,
1.0,"43.70425741,-72.29058438",2013-04-18 04:03:18,
1.0,"43.70426635,-72.29067159",2013-04-18 08:09:26,
4.0,"43.70426635,-72.29067159",2013-04-19 02:42:46,
1.0,"43.70423992,-72.2905566",2013-04-20 05:00:09,
4.0,"43.70418092,-72.29045018",2013-04-23 08:01:16,
4.0,Unknown,2013-05-06 04:34:16,
4.0,Unknown,2013-05-07 07:57:26,
4.0,Unknown,2013-05-12 05:21:27,
1.0,"43.70491554,-72.28914282",2013-05-16 02:09:02,
4.0,Unknown,2013-05-07 20:54:07,
4.0,"43.70476212,-72.28945343",2013-05-23 19:24:03,
