null,resp_time,level,location
"43.70477575,-72.28844073",2013-03-24 10:46:22,,
2,2013-03-24 10:46:23,,
"43.70637091,-72.28704334",2013-03-24 09:51:36,,
4,2013-03-24 10:46:20,,
3,2013-03-24 10:46:25,,
,2013-04-03 06:35:26,4.0,"43.69230795,-72.26691314"
,2013-04-04 01:39:42,5.0,"43.70631764,-72.2868794"
,2013-04-03 00:06:25,4.0,"43.70687995,-72.28684036"
,2013-04-04 00:19:38,4.0,"43.70598417,-72.28671793"
,2013-04-04 06:11:20,4.0,"43.69220757,-72.26687248"
,2013-04-04 16:14:34,4.0,"43.69207668,-72.26667703"
,2013-04-04 18:20:47,1.0,"43.69207668,-72.26667703"
,2013-04-04 21:54:36,1.0,"43.70647656,-72.28646693"
,2013-04-05 02:21:50,4.0,"43.70647656,-72.28646693"
,2013-04-05 00:31:38,1.0,"43.70647656,-72.28646693"
,2013-04-05 06:05:55,4.0,"43.70653963,-72.28694217"
,2013-04-05 16:45:57,4.0,"43.69200732,-72.26705782"
,2013-04-07 18:06:47,1.0,"43.69245308,-72.26713397"
,2013-04-06 16:30:47,1.0,"43.70785555,-72.28572217"
,2013-04-06 09:25:02,4.0,"43.70785555,-72.28572217"
,2013-04-08 05:21:01,2.0,"43.69245308,-72.26713397"
,2013-04-08 16:40:14,1.0,"43.69220733,-72.26727623"
,2013-04-08 20:41:39,4.0,"43.69225568,-72.26665378"
,2013-04-09 08:03:03,4.0,"43.69234133,-72.26691819"
,2013-04-09 04:58:05,1.0,"43.69197213,-72.26693076"
,2013-04-09 16:38:23,1.0,"43.69221111,-72.26702562"
,2013-04-09 22:30:16,1.0,"43.69188915,-72.26684014"
,2013-04-10 17:18:36,1.0,"43.69223338,-72.26689517"
,2013-04-10 23:02:12,2.0,"43.70905522,-72.28367829"
,2013-04-11 17:03:54,1.0,"43.69231687,-72.26692115"
,2013-04-15 08:14:29,1.0,"43.69250898,-72.26687713"
,2013-04-11 22:02:24,1.0,"43.70752065,-72.28669805"
,2013-04-12 23:18:58,1.0,"43.69213022,-72.27010971"
,2013-04-12 17:57:03,1.0,"43.69213022,-72.27010971"
,2013-04-13 16:49:05,1.0,"43.69220716,-72.26708063"
,2013-04-13 19:54:47,2.0,"43.70926341,-72.28546583"
,2013-04-13 23:48:07,1.0,"43.70926341,-72.28546583"
,2013-04-18 16:35:25,1.0,"43.69219202,-72.26690084"
,2013-04-15 16:21:57,2.0,"43.69206212,-72.26702576"
,2013-04-16 04:22:01,4.0,"43.70711018,-72.28582147"
,2013-04-16 02:50:27,4.0,"43.70711018,-72.28582147"
,2013-04-16 16:28:20,1.0,"43.69226815,-72.26702755"
,2013-04-20 16:33:40,1.0,"43.69222142,-72.26706862"
,2013-04-20 05:42:33,1.0,"43.69196026,-72.2669165"
,2013-04-26 16:26:38,1.0,"43.69232314,-72.26697319"
,2013-04-21 17:09:26,1.0,"43.69229061,-72.26677536"
,2013-04-22 16:09:56,2.0,"43.69233549,-72.26693414"
,2013-04-23 06:23:58,4.0,"43.70957133,-72.28436521"
,2013-04-25 00:29:37,1.0,"43.69935873,-72.28135033"
,2013-04-23 16:24:13,1.0,"43.69224244,-72.26693975"
,2013-04-25 16:29:39,1.0,"43.69221585,-72.26709452"
,2013-04-27 17:10:17,1.0,Unknown
,2013-04-26 18:02:32,1.0,"43.70924953,-72.28306718"
,2013-04-29 04:30:08,1.0,"43.69187537,-72.26715603"
,2013-04-29 15:12:40,3.0,"43.69198838,-72.26681867"
,2013-04-30 01:17:12,3.0,"43.70907937,-72.2835377"
,2013-04-30 04:03:18,3.0,"43.70907937,-72.2835377"
,2013-04-30 15:28:49,1.0,"43.69205554,-72.2671205"
,2013-05-01 15:04:19,1.0,"43.69241334,-72.26678771"
,2013-05-02 05:11:41,1.0,"43.69204838,-72.26683492"
,2013-05-02 16:27:05,1.0,"43.69204957,-72.26697347"
,2013-05-03 15:34:00,1.0,"43.69218699,-72.26710181"
,2013-05-14 17:31:37,1.0,"43.69225,-72.26698519"
,2013-05-06 04:10:39,1.0,"43.70697752,-72.28728895"
,2013-05-07 18:24:07,1.0,"43.69255276,-72.26704092"
,2013-05-04 17:11:16,1.0,"43.69208378,-72.26703755"
,2013-05-06 20:10:50,4.0,"43.70691341,-72.28711558"
,2013-05-15 20:29:08,4.0,"43.69209984,-72.26703955"
,2013-05-16 17:49:19,4.0,"43.69229577,-72.26673522"
,2013-05-15 16:49:08,4.0,"43.69219289,-72.26671048"
,2013-05-12 04:30:06,1.0,Unknown
,2013-05-08 18:03:13,1.0,"43.69230186,-72.26682816"
,2013-05-09 17:39:30,1.0,"43.69230186,-72.26682816"
,2013-05-13 17:11:16,1.0,"43.69206484,-72.26700327"
,2013-05-05 17:46:03,1.0,"43.69238395,-72.26701546"
,2013-05-07 18:24:12,1.0,"43.69255276,-72.26704092"
,2013-05-08 16:27:11,3.0,"43.69230186,-72.26682816"
,2013-05-12 17:05:49,4.0,"43.69220954,-72.26702639"
,2013-05-15 02:15:43,3.0,"43.69175278,-72.26719117"
,2013-05-16 02:15:08,4.0,"43.69208336,-72.26695152"
,2013-05-16 19:45:50,4.0,"43.69229577,-72.26673522"
,2013-05-17 17:44:39,4.0,"43.69229406,-72.26664182"
,2013-05-18 17:40:34,1.0,"43.6922613,-72.26687932"
,2013-05-19 19:36:14,1.0,"43.69142104,-72.26941669"
,2013-05-20 16:44:36,1.0,"43.69230186,-72.26692699"
,2013-05-21 05:10:15,1.0,"43.69227685,-72.26694425"
,2013-05-22 04:58:45,1.0,"43.69245721,-72.26707397"
,2013-05-22 17:41:44,1.0,"43.69230566,-72.26694933"
,2013-05-23 17:13:33,1.0,"43.69213441,-72.26712004"
,2013-05-24 17:20:38,1.0,"43.69222786,-72.26719913"
,2013-05-27 17:28:35,2.0,"43.69341383,-72.2733575"
,2013-05-31 21:15:52,5.0,"43.69232465,-72.26672118"
