level,location,resp_time,null
4.0,"43.70490618,-72.2903464",2013-03-31 23:26:00,
,,2013-03-24 10:42:47,2
,,2013-03-24 10:42:49,"43.70523672,-72.28864567"
,,2013-03-24 10:42:51,"43.70523672,-72.28864567"
,,2013-03-24 10:42:45,4
,,2013-03-24 10:42:46,1
1.0,"43.70569755,-72.29051497",2013-03-30 22:28:29,
1.0,"43.70282146,-72.29016985",2013-03-27 22:37:42,
1.0,"43.70535842,-72.28724963",2013-03-28 23:30:46,
1.0,"43.70724486,-72.28721651",2013-03-29 22:00:55,
2.0,"43.70358976,-72.29054215",2013-04-03 00:39:00,
1.0,"43.70358976,-72.29054215",2013-04-02 17:49:24,
1.0,"43.70450379,-72.28884561",2013-04-04 00:04:19,
4.0,"43.70358976,-72.29054215",2013-04-03 16:14:03,
1.0,"43.70450379,-72.28884561",2013-04-03 22:01:26,
1.0,"43.70393687,-72.29111144",2013-04-04 22:00:54,
3.0,"43.7040162,-72.29110655",2013-04-08 23:02:40,
4.0,"43.70399029,-72.29031194",2013-04-05 01:33:43,
4.0,"43.70373421,-72.29092089",2013-04-06 01:13:19,
1.0,"43.7037992,-72.29079052",2013-04-05 23:34:01,
1.0,"43.70362252,-72.29130382",2013-04-07 21:09:36,
2.0,"43.70638642,-72.28846824",2013-04-08 00:04:16,
2.0,"43.70638642,-72.28846824",2013-04-08 03:52:04,
2.0,"43.70411779,-72.28816375",2013-04-08 21:19:11,
1.0,"43.70592306,-72.28973692",2013-04-09 04:00:30,
3.0,"43.70474513,-72.28856577",2013-04-11 02:58:33,
1.0,Unknown,2013-04-09 19:27:22,
1.0,"43.71418086,-72.2968304",2013-04-10 02:31:22,
2.0,"43.70361655,-72.29085905",2013-04-10 04:48:55,
1.0,"43.7037662,-72.29072759",2013-04-11 23:13:56,
3.0,"43.70474513,-72.28856577",2013-04-10 20:00:24,
3.0,"43.70474513,-72.28856577",2013-04-10 22:37:26,
1.0,"43.70364199,-72.29076278",2013-04-13 22:35:50,
4.0,"43.70364199,-72.29076278",2013-04-12 23:47:00,
1.0,"43.70338123,-72.29047331",2013-04-12 06:46:21,
3.0,"43.70350683,-72.28981599",2013-04-15 06:38:15,
3.0,"43.70364199,-72.29076278",2013-04-14 00:40:27,
1.0,"43.70350683,-72.28981599",2013-04-14 22:00:57,
2.0,"43.70348086,-72.29159422",2013-04-14 20:19:34,
1.0,"43.70346314,-72.29066114",2013-04-16 02:39:18,
1.0,"43.70383103,-72.28971738",2013-04-16 04:01:16,
1.0,"43.71269528,-72.28398406",2013-04-17 04:03:27,
1.0,"43.70459119,-72.28893631",2013-04-18 04:00:26,
2.0,"43.70378332,-72.29056908",2013-04-18 20:43:29,
1.0,"43.70692473,-72.28664094",2013-04-18 02:34:52,
2.0,"43.70459119,-72.28893631",2013-04-18 08:56:17,
2.0,"43.70590563,-72.28948565",2013-04-19 06:17:35,
2.0,"43.70370463,-72.29071195",2013-04-19 16:06:10,
3.0,"43.70308688,-72.28865677",2013-04-19 19:30:05,
2.0,"43.70097511,-72.28885351",2013-04-20 06:13:05,
3.0,"43.70379379,-72.29137476",2013-04-21 20:37:33,
3.0,"43.70388114,-72.29106228",2013-04-22 02:09:58,
3.0,"43.70388114,-72.29106228",2013-04-22 02:10:04,
3.0,"43.70379379,-72.29137476",2013-04-21 20:18:10,
3.0,"43.7070591,-72.28708027",2013-04-30 04:00:57,
