null,resp_time,level,location
"43.70632816,-72.28699831",2013-03-24 10:45:09,,
3,2013-03-24 10:45:06,,
"43.70632816,-72.28699831",2013-03-24 10:45:08,,
"43.70632816,-72.28699831",2013-03-24 10:47:14,,
"43.70632816,-72.28699831",2013-03-24 09:52:10,,
,2013-04-04 01:20:25,2.0,"43.70720395,-72.29323446"
,2013-03-27 22:05:02,4.0,"43.70834437,-72.28451848"
,2013-03-28 22:48:17,1.0,"43.70645754,-72.28704395"
,2013-03-29 23:53:58,4.0,"43.70723487,-72.28559257"
,2013-03-30 22:27:34,4.0,"43.70631001,-72.28703982"
,2013-03-31 22:25:11,5.0,"44.22093774,-72.58471841"
,2013-04-03 06:00:22,1.0,"43.70705601,-72.29325701"
,2013-04-05 06:15:22,1.0,"43.7070604,-72.29313622"
,2013-04-08 20:00:53,1.0,"43.70720645,-72.29347981"
,2013-04-07 02:12:16,4.0,"43.70318385,-72.29022854"
,2013-04-08 02:02:44,1.0,"43.70620445,-72.29116858"
,2013-04-14 22:40:52,2.0,"43.70306572,-72.29094266"
,2013-04-09 08:07:43,1.0,"43.70711293,-72.29300838"
,2013-04-13 22:18:15,1.0,"43.70725458,-72.29319166"
,2013-04-15 20:13:14,1.0,"43.7091282,-72.28429872"
,2013-04-11 22:00:44,1.0,"43.70686475,-72.28624548"
,2013-04-16 04:18:03,2.0,"43.70727735,-72.29334662"
,2013-04-16 09:16:59,2.0,"43.70705175,-72.29304265"
,2013-04-17 08:04:53,4.0,"43.70716557,-72.29339797"
,2013-04-18 04:00:12,4.0,"43.70699854,-72.29297309"
,2013-04-20 09:48:23,4.0,"43.70714265,-72.29314518"
,2013-04-25 18:15:18,1.0,"43.70501532,-72.29064885"
,2013-04-23 08:01:04,1.0,"43.70723784,-72.29303131"
,2013-04-29 00:01:33,2.0,"43.70512323,-72.29159062"
,2013-04-29 04:04:54,2.0,"43.70517745,-72.2882317"
,2013-04-30 04:07:21,2.0,Unknown
,2013-05-03 06:18:38,1.0,Unknown
,2013-05-06 07:34:58,1.0,"43.70719676,-72.29315695"
,2013-05-08 08:40:29,1.0,"43.70718855,-72.29322803"
,2013-05-07 20:42:17,1.0,"43.70171273,-72.2882615"
