null,resp_time,level,location
1,2013-03-24 10:44:47,,
1,2013-03-24 10:44:52,,
"43.70667971,-72.28698867",2013-03-24 10:45:10,,
"43.70427927,-72.28971705",2013-03-24 10:44:51,,
1,2013-03-24 09:52:34,,
5,2013-03-24 10:44:49,,
,2013-03-30 22:24:05,2.0,"43.7029945,-72.29112495"
,2013-03-28 22:03:52,1.0,"43.70716035,-72.28937596666667"
,2013-03-31 22:11:24,2.0,"43.70538861666667,-72.2896257"
,2013-04-03 00:24:31,1.0,"43.70710476666667,-72.28895371666667"
,2013-04-03 06:44:24,5.0,"43.70712738333334,-72.28893718333333"
,2013-04-04 00:36:54,5.0,"43.7069955,-72.28824085"
,2013-04-04 08:57:54,5.0,"43.707083266666665,-72.28889416666667"
,2013-04-08 20:23:51,3.0,"43.70326943333333,-72.290563"
,2013-04-05 00:45:16,1.0,"43.706978783333334,-72.28869071666666"
,2013-04-05 15:03:24,1.0,"43.707280983333334,-72.2890027"
,2013-04-06 00:45:13,3.0,"43.70726605,-72.28919321666666"
,2013-04-06 18:56:27,3.0,"43.70713713333333,-72.28891073333334"
,2013-04-07 03:23:03,3.0,"43.707121433333334,-72.28947938333333"
,2013-04-09 08:25:23,5.0,"43.70704988333333,-72.28903018333334"
,2013-04-10 22:47:38,1.0,"43.7030312,-72.28956423333334"
,2013-04-18 04:46:36,4.0,"43.707109683333336,-72.28891951666667"
,2013-04-11 22:12:18,5.0,"43.70706548333333,-72.28899323333333"
,2013-04-12 21:59:58,1.0,"43.70716755,-72.2888156"
,2013-04-13 23:24:46,5.0,"43.70729465,-72.288737"
,2013-04-17 08:00:04,1.0,"43.7032011,-72.29047235"
,2013-04-14 23:25:28,2.0,"43.706763233333334,-72.28900886666666"
,2013-04-15 20:00:00,1.0,"43.70699183333333,-72.2890747"
,2013-04-16 08:00:16,1.0,"43.707300599999996,-72.2890433"
,2013-04-17 04:06:52,4.0,"43.7032011,-72.29047235"
,2013-04-18 08:19:08,5.0,"43.7069446,-72.28889408333333"
,2013-04-29 06:20:09,2.0,"43.70727278333333,-72.28916668333333"
,2013-04-23 08:03:47,2.0,"43.70715625,-72.2889859"
,2013-04-30 08:06:47,1.0,"43.70723443333333,-72.28894548333334"
,2013-04-26 18:06:16,2.0,"43.7070872,-72.28909465"
,2013-04-29 01:53:50,1.0,"43.707265416666665,-72.28896075"
,2013-05-01 06:29:09,1.0,"43.70781448333334,-72.28638735"
,2013-05-16 19:42:33,2.0,"43.7072038,-72.28910031666666"
,2013-05-16 02:53:43,2.0,"43.707834016666666,-72.28659761666667"
,2013-05-17 20:49:48,1.0,"43.70797026666666,-72.28684785"
,2013-05-19 19:26:33,1.0,"43.70704741666667,-72.28891435"
,2013-05-19 04:00:04,3.0,"43.70768413333333,-72.28665698333333"
,2013-05-21 06:58:30,3.0,"43.70696515,-72.288993"
,2013-05-22 04:09:03,1.0,"43.70773375,-72.28618268333334"
,2013-05-21 19:15:14,3.0,"43.707672716666664,-72.28611655"
,2013-05-22 19:19:30,1.0,"43.70609388333333,-72.28685355"
,2013-05-25 04:10:23,5.0,"43.70400668333333,-72.28917318333333"
