level,location,resp_time,null
4.0,"43.70685969,-72.28758714",2013-03-27 04:45:45,
,,2013-03-24 09:47:00,1.0
,,2013-03-24 10:18:43,3.0
,,2013-03-24 10:30:03,4.0
,,2013-03-24 10:48:22,3.0
1.0,"43.70677676,-72.28902977",2013-03-30 22:27:26,
1.0,"43.70652979,-72.28926963",2013-03-29 19:45:25,
4.0,"43.70685738,-72.28916538",2013-03-28 23:53:09,
5.0,"43.70672328,-72.28909919",2013-03-30 00:32:58,
1.0,"43.7067865,-72.28924896",2013-03-31 18:49:27,
2.0,"43.70656859,-72.28959788",2013-04-01 02:45:54,
1.0,"43.70671336,-72.28916672",2013-04-03 06:03:04,
4.0,"43.70654787,-72.28920771",2013-04-04 07:28:35,
4.0,"43.70712384,-72.28865547",2013-04-05 06:08:42,
4.0,"43.70696816,-72.28903041",2013-04-06 01:26:41,
5.0,"43.69935393,-72.29030653",2013-04-06 09:39:30,
1.0,"43.70570732,-72.2889679",2013-04-07 21:21:54,
1.0,"43.70522631,-72.28969164",2013-04-09 04:50:01,
1.0,"43.70677177,-72.28918785",2013-04-10 22:33:15,
2.0,"43.70403134,-72.28895495",2013-04-10 02:59:22,
1.0,"43.7065784,-72.28931637",2013-04-16 04:24:02,
1.0,"43.70697918,-72.2890532",2013-04-11 02:03:16,
1.0,"43.70461136,-72.28954968",2013-04-12 02:44:19,
4.0,"43.70688206,-72.28906315",2013-04-13 22:54:36,
1.0,"43.70670731,-72.28897599",2013-04-14 23:14:15,
1.0,"43.70668962,-72.28901451",2013-04-16 01:52:24,
1.0,"43.70725639,-72.28916553",2013-04-17 04:01:47,
4.0,"43.70330718,-72.28913616",2013-04-19 00:32:42,
4.0,"43.70700605,-72.28906778",2013-04-20 06:44:52,
2.0,"43.70682686,-72.28889746",2013-04-28 07:47:46,
2.0,"43.70681322,-72.28921218",2013-04-28 21:44:49,
1.0,"43.70669748,-72.28920919",2013-04-26 18:03:22,
2.0,"43.7066455,-72.28908136",2013-04-28 19:34:02,
3.0,"43.70665994,-72.28903937",2013-04-29 05:50:08,
2.0,"43.70669145,-72.28940019",2013-04-30 05:58:15,
1.0,"43.70264128,-72.28912823",2013-05-07 05:04:20,
