null,resp_time,level,location
3,2013-03-24 10:47:11,,
"43.70591546,-72.28812724",2013-03-24 10:47:14,,
"43.70450657,-72.28874981",2013-03-24 10:47:12,,
2,2013-03-24 10:47:16,,
"43.70628474,-72.2870415",2013-03-24 09:49:49,,
,2013-03-28 22:00:24,4.0,"43.68060986,-72.29350695"
,2013-03-29 22:00:40,5.0,"43.7063711,-72.2869549"
,2013-03-30 22:57:34,3.0,"43.68041184,-72.29313066"
,2013-04-03 00:02:19,4.0,"43.70702548,-72.28665335"
,2013-04-04 06:04:41,1.0,"43.68029104,-72.29385347"
,2013-04-05 00:13:52,4.0,"43.68043243,-72.2937815"
,2013-04-06 00:00:21,1.0,"43.68060527,-72.29378391"
,2013-04-12 22:00:15,4.0,"43.68034282,-72.29380586"
,2013-04-14 22:05:46,1.0,"43.68641769,-72.29316385"
,2013-04-15 20:00:21,1.0,"43.68056375,-72.29351202"
,2013-04-16 04:00:12,1.0,"43.70735468,-72.28667737"
,2013-04-17 04:02:56,1.0,"43.7064523,-72.28695897"
