null,resp_time,level,location
"43.70644277,-72.28745909",2013-03-24 10:39:35,,
3,2013-03-24 10:38:44,,
"43.70632945,-72.28708376",2013-03-24 10:38:42,,
3,2013-03-24 10:38:47,,
3,2013-03-24 10:38:45,,
,2013-03-28 22:08:55,1.0,"43.70252619,-72.28664327"
,2013-03-30 23:06:20,2.0,"43.70406856,-72.29058126"
,2013-04-17 09:14:58,2.0,"43.70495522,-72.29090614"
,2013-04-16 08:03:05,3.0,"43.70495522,-72.29090614"
,2013-04-11 23:53:36,3.0,"43.70678195,-72.28738426"
,2013-04-14 22:33:56,3.0,"43.70459704,-72.29138802"
,2013-04-15 21:07:32,3.0,"43.70476167,-72.29132691"
,2013-04-18 05:44:35,3.0,"43.70432313,-72.29132532"
,2013-04-18 08:00:14,3.0,"43.70432313,-72.29132532"
,2013-04-19 02:36:51,3.0,"43.70237732,-72.28914013"
,2013-04-20 19:47:06,2.0,Unknown
,2013-04-20 05:56:12,2.0,"43.7054293,-72.2897154"
,2013-04-21 10:16:05,3.0,Unknown
,2013-04-21 08:58:20,3.0,Unknown
,2013-04-21 22:10:36,3.0,Unknown
,2013-04-30 04:05:10,3.0,"43.70455463,-72.29084469"
,2013-04-23 09:21:47,3.0,Unknown
,2013-04-26 18:26:50,3.0,"43.7060191,-72.28758328"
,2013-04-29 04:34:15,3.0,Unknown
,2013-05-02 05:26:07,3.0,"43.70436553,-72.29117433"
,2013-05-01 05:02:05,3.0,"43.70426646,-72.29095652"
,2013-05-07 04:29:39,3.0,"43.70426219,-72.29134493"
,2013-05-07 18:01:11,3.0,"43.702392,-72.28970149"
,2013-05-17 09:53:01,3.0,"43.70419436,-72.29111957"
,2013-05-08 04:01:05,3.0,"43.70667208,-72.28631618"
,2013-05-11 08:13:28,3.0,Unknown
,2013-05-04 17:18:29,3.0,"43.70441582,-72.29136839"
,2013-05-07 08:07:24,3.0,"43.70492105,-72.29126522"
,2013-05-09 05:57:07,3.0,"43.7052792,-72.28985206"
,2013-05-08 16:30:31,3.0,"43.704734619999996,-72.29096421"
,2013-05-15 01:49:25,3.0,"43.70673393,-72.28776049"
,2013-05-18 02:59:18,3.0,"43.70648669,-72.28860157"
,2013-05-19 09:50:26,3.0,"43.70551279,-72.29153409"
,2013-05-20 08:57:36,3.0,"43.70551279,-72.29153409"
,2013-05-21 10:04:54,3.0,"43.70359481,-72.28954844"
,2013-05-22 19:15:15,3.0,"43.70465377,-72.29113067"
,2013-05-24 12:07:05,3.0,Unknown
,2013-05-28 16:43:34,3.0,Unknown
,2013-05-25 23:45:23,3.0,Unknown
,2013-05-26 00:26:29,3.0,Unknown
,2013-05-31 04:37:17,3.0,"43.70583041,-72.28925846"
,2013-06-01 15:37:59,3.0,"43.70583041,-72.28925846"
