null,resp_time,level,location
3,2013-03-24 09:46:43,,
2,2013-03-24 10:48:48,,
Unknown,2013-03-24 10:48:51,,
2,2013-03-24 10:48:50,,
,2013-03-31 23:12:22,2.0,"43.70394481,-72.28581948"
,2013-04-04 01:43:47,2.0,"43.70377722,-72.28783656"
,2013-04-04 06:00:12,2.0,"43.70377722,-72.28783656"
,2013-04-09 05:47:56,1.0,Unknown
,2013-04-13 22:00:11,2.0,"43.70393265,-72.28608222"
,2013-04-14 22:12:25,3.0,"43.70428777,-72.28778708"
,2013-04-16 04:07:14,1.0,"43.70428777,-72.28778708"
,2013-04-26 19:17:17,1.0,"43.70543645,-72.28828558"
,2013-04-29 00:00:08,2.0,"43.70535262,-72.28819131"
,2013-04-30 09:09:37,3.0,"43.70526777,-72.28881679"
,2013-05-08 08:05:27,3.0,Unknown
