null,resp_time,anxious,calm,conventional,critical,dependable,disorganized,enthusiastic,experiences,reserved,sympathetic,location
5,2013-03-30 22:49:23,,,,,,,,,,,
1,2013-03-27 20:03:30,,,,,,,,,,,
3,2013-03-28 07:40:21,,,,,,,,,,,
2,2013-03-29 21:59:51,,,,,,,,,,,
1,2013-04-01 07:21:11,,,,,,,,,,,
4,2013-04-03 22:02:16,,,,,,,,,,,
1,2013-04-05 23:34:02,,,,,,,,,,,
3,2013-04-07 21:09:31,,,,,,,,,,,
,2013-04-08 21:18:10,2.0,3.0,2.0,2.0,4.0,2.0,2.0,1.0,4.0,2.0,
,2013-04-10 02:32:47,1.0,3.0,4.0,2.0,2.0,1.0,3.0,4.0,5.0,3.0,
,2013-04-11 23:14:26,2.0,4.0,4.0,2.0,3.0,2.0,2.0,2.0,5.0,3.0,
,2013-04-16 22:05:30,1.0,4.0,4.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,
3,2013-04-18 20:00:49,2.0,4.0,2.0,2.0,4.0,1.0,3.0,3.0,4.0,4.0,
,2013-04-18 02:34:14,1.0,4.0,4.0,3.0,3.0,1.0,3.0,3.0,4.0,2.0,
,2013-04-29 20:48:21,3.0,4.0,3.0,2.0,3.0,2.0,4.0,4.0,2.0,2.0,"43.70435459,-72.29034651"
"43.70299464,-72.2902466",2013-04-23 22:05:16,1.0,5.0,4.0,2.0,3.0,3.0,4.0,3.0,4.0,5.0,
,2013-04-27 04:34:05,5.0,1.0,5.0,5.0,1.0,5.0,1.0,1.0,5.0,3.0,"43.70383449,-72.29122954"
,2013-05-02 01:41:16,1.0,4.0,2.0,3.0,3.0,2.0,1.0,3.0,5.0,4.0,"43.70545477,-72.28953205"
,2013-05-11 19:25:16,1.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,3.0,"43.70317722,-72.28939878"
,2013-05-15 00:10:06,4.0,3.0,4.0,3.0,3.0,3.0,1.0,3.0,5.0,3.0,"43.70391463,-72.28988644"
,2013-05-11 00:58:11,3.0,2.0,4.0,1.0,2.0,3.0,3.0,2.0,4.0,4.0,"43.70745176,-72.28884841"
,2013-05-16 00:57:48,3.0,3.0,4.0,4.0,3.0,3.0,1.0,2.0,5.0,3.0,"43.70374249,-72.29050587"
,2013-05-08 20:32:17,3.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,"43.70444528,-72.29050901"
,2013-05-13 21:30:53,2.0,3.0,4.0,5.0,3.0,3.0,1.0,1.0,5.0,2.0,"43.70339979,-72.28817654"
,2013-05-18 00:18:49,3.0,3.0,3.0,1.0,3.0,3.0,5.0,3.0,2.0,3.0,"43.70695744,-72.28713032"
,2013-05-28 05:43:12,4.0,1.0,3.0,5.0,3.0,2.0,1.0,1.0,3.0,1.0,"43.68753666,-72.29250241"
