null,resp_time,anxious,calm,conventional,critical,dependable,disorganized,enthusiastic,experiences,reserved,sympathetic
3,2013-03-29 02:11:01,,,,,,,,,,
4,2013-03-28 20:37:19,,,,,,,,,,
null,2013-03-28 20:37:20,,,,,,,,,,
3,2013-03-29 19:05:21,,,,,,,,,,
1,2013-04-01 22:00:26,,,,,,,,,,
,2013-04-08 18:53:07,2.0,4.0,4.0,1.0,4.0,2.0,3.0,3.0,4.0,3.0
,2013-04-15 10:19:41,3.0,5.0,2.0,1.0,2.0,4.0,1.0,3.0,5.0,3.0
,2013-04-17 09:18:51,3.0,3.0,4.0,1.0,2.0,2.0,1.0,2.0,4.0,4.0
,2013-04-17 20:58:08,4.0,2.0,3.0,2.0,4.0,3.0,1.0,2.0,3.0,2.0
null,2013-04-18 20:16:31,2.0,3.0,2.0,1.0,5.0,2.0,4.0,2.0,3.0,3.0
