null,resp_time,anxious,calm,conventional,critical,dependable,disorganized,enthusiastic,experiences,reserved,sympathetic
1,2013-03-30 02:07:43,,,,,,,,,,
4,2013-03-30 02:07:46,,,,,,,,,,
2,2013-03-30 02:07:51,,,,,,,,,,
1,2013-03-30 02:07:47,,,,,,,,,,
3,2013-04-01 22:48:34,,,,,,,,,,
,2013-04-08 21:56:05,3.0,2.0,3.0,4.0,3.0,2.0,2.0,2.0,4.0,2.0
2,2013-04-06 22:41:27,,,,,,,,,,
null,2013-04-07 21:44:41,,,,,,,,,,
,2013-04-16 21:54:08,3.0,2.0,3.0,5.0,3.0,3.0,4.0,2.0,4.0,1.0
3,2013-04-18 21:15:39,2.0,4.0,2.0,4.0,4.0,1.0,3.0,2.0,2.0,3.0
"43.70324765,-72.28959674",2013-04-22 01:58:05,1.0,4.0,1.0,2.0,3.0,3.0,4.0,2.0,3.0,2.0
"43.70297206,-72.28625376",2013-04-25 05:39:21,1.0,3.0,1.0,3.0,4.0,2.0,3.0,4.0,4.0,1.0
