null,resp_time,anxious,calm,conventional,critical,dependable,disorganized,enthusiastic,experiences,reserved,sympathetic,location
3,2013-03-27 07:22:17,,,,,,,,,,,
3,2013-03-28 06:06:30,,,,,,,,,,,
5,2013-04-01 08:33:55,,,,,,,,,,,
4,2013-04-01 22:00:32,,,,,,,,,,,
4,2013-04-04 21:18:21,,,,,,,,,,,
2,2013-04-04 08:13:24,,,,,,,,,,,
3,2013-04-05 01:43:32,,,,,,,,,,,
4,2013-04-06 21:15:08,,,,,,,,,,,
2,2013-04-07 21:38:34,,,,,,,,,,,
,2013-04-08 08:33:36,1.0,3.0,3.0,1.0,4.0,1.0,1.0,3.0,4.0,3.0,
,2013-04-08 21:08:00,3.0,5.0,4.0,2.0,4.0,1.0,2.0,2.0,5.0,3.0,
,2013-04-09 03:06:42,1.0,3.0,4.0,3.0,4.0,1.0,4.0,4.0,4.0,3.0,
,2013-04-11 09:01:35,1.0,4.0,4.0,1.0,4.0,1.0,1.0,2.0,5.0,3.0,
,2013-04-12 07:15:10,2.0,4.0,4.0,1.0,4.0,1.0,4.0,4.0,2.0,4.0,
,2013-04-16 03:41:49,3.0,3.0,5.0,1.0,4.0,1.0,4.0,2.0,5.0,4.0,
,2013-04-16 09:22:21,1.0,3.0,4.0,1.0,5.0,1.0,1.0,2.0,5.0,2.0,
,2013-04-17 08:46:17,2.0,4.0,3.0,1.0,5.0,1.0,3.0,3.0,4.0,3.0,
,2013-04-16 20:59:49,2.0,4.0,3.0,3.0,5.0,1.0,5.0,4.0,2.0,3.0,
,2013-04-17 20:22:29,2.0,4.0,4.0,1.0,5.0,1.0,1.0,3.0,5.0,3.0,
null,2013-04-18 20:08:35,2.0,4.0,4.0,3.0,4.0,2.0,5.0,4.0,3.0,3.0,
"43.70734975,-72.28629956",2013-04-19 08:30:11,2.0,4.0,4.0,2.0,5.0,2.0,3.0,3.0,4.0,4.0,
"43.7067391,-72.28556913",2013-04-21 08:12:28,3.0,4.0,4.0,1.0,4.0,1.0,1.0,2.0,4.0,2.0,
"43.7067805,-72.28550931",2013-04-22 05:10:52,1.0,5.0,4.0,2.0,4.0,2.0,4.0,4.0,2.0,4.0,
"43.70299561,-72.28996129",2013-04-24 07:52:48,3.0,3.0,3.0,2.0,5.0,1.0,3.0,3.0,4.0,4.0,
"43.70676468,-72.28542565",2013-04-23 06:01:16,1.0,5.0,4.0,1.0,5.0,1.0,2.0,3.0,5.0,3.0,
"43.70705944,-72.28563764",2013-04-23 07:43:32,2.0,4.0,3.0,1.0,4.0,1.0,3.0,3.0,4.0,4.0,
"43.70713311,-72.28898393",2013-04-25 05:00:22,2.0,4.0,3.0,3.0,5.0,2.0,4.0,4.0,2.0,4.0,
,2013-04-26 07:14:48,2.0,3.0,3.0,3.0,4.0,2.0,4.0,3.0,3.0,4.0,"43.70445438,-72.28941379"
,2013-04-26 07:56:51,2.0,5.0,2.0,1.0,4.0,1.0,1.0,4.0,4.0,2.0,"43.70445438,-72.28941379"
,2013-05-01 09:28:46,2.0,5.0,3.0,1.0,4.0,2.0,1.0,3.0,5.0,3.0,"43.70101204,-72.28677708"
,2013-05-06 07:30:20,2.0,4.0,4.0,1.0,5.0,1.0,5.0,4.0,4.0,5.0,"43.70706627,-72.28596306"
,2013-05-16 00:06:41,3.0,4.0,3.0,2.0,4.0,2.0,4.0,4.0,2.0,4.0,"43.70246446,-72.28774351"
,2013-05-04 07:23:09,2.0,4.0,3.0,1.0,5.0,1.0,4.0,4.0,4.0,3.0,"43.70726531,-72.28611408"
,2013-05-13 19:01:22,3.0,4.0,3.0,1.0,5.0,2.0,2.0,3.0,5.0,2.0,"43.70670191,-72.28568105"
,2013-05-04 02:49:15,2.0,4.0,4.0,1.0,5.0,1.0,3.0,3.0,5.0,4.0,"43.70705362,-72.28594706"
,2013-05-10 20:28:25,3.0,4.0,4.0,1.0,4.0,2.0,4.0,4.0,4.0,3.0,"43.70680418,-72.28601166"
,2013-05-11 05:13:34,4.0,4.0,3.0,1.0,4.0,4.0,3.0,5.0,5.0,2.0,"43.70700456,-72.28598088"
,2013-05-12 09:05:15,2.0,4.0,3.0,1.0,4.0,1.0,5.0,4.0,2.0,4.0,"43.70701211,-72.28611727"
,2013-05-14 08:15:55,2.0,4.0,3.0,3.0,4.0,1.0,4.0,3.0,3.0,4.0,"43.70650157,-72.28532126"
,2013-05-15 01:07:48,2.0,4.0,3.0,1.0,5.0,1.0,1.0,3.0,4.0,2.0,"43.70120165,-72.28667414"
,2013-05-05 07:52:06,2.0,4.0,3.0,1.0,5.0,1.0,4.0,4.0,4.0,3.0,"43.70691192,-72.28587513"
,2013-05-14 03:16:31,3.0,4.0,4.0,1.0,4.0,2.0,5.0,4.0,2.0,4.0,"43.70670191,-72.28568105"
,2013-05-17 00:02:06,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,"43.70125983,-72.28646689"
