null,resp_time,anxious,calm,conventional,critical,dependable,disorganized,enthusiastic,experiences,reserved,sympathetic,location
5.0,2013-04-01 22:00:35,,,,,,,,,,,
2.0,2013-04-02 18:54:29,,,,,,,,,,,
1.0,2013-03-29 00:25:02,,,,,,,,,,,
2.0,2013-03-29 06:02:42,,,,,,,,,,,
4.0,2013-03-29 22:04:40,,,,,,,,,,,
3.0,2013-03-31 06:53:44,,,,,,,,,,,
5.0,2013-03-31 22:36:21,,,,,,,,,,,
1.0,2013-04-04 02:05:26,,,,,,,,,,,
5.0,2013-04-02 22:51:29,,,,,,,,,,,
5.0,2013-04-01 06:34:42,,,,,,,,,,,
1.0,2013-04-03 00:39:43,,,,,,,,,,,
3.0,2013-04-04 22:04:57,,,,,,,,,,,
1.0,2013-04-06 02:08:07,,,,,,,,,,,
4.0,2013-04-06 04:54:23,,,,,,,,,,,
5.0,2013-04-07 02:28:26,,,,,,,,,,,
1.0,2013-04-07 22:06:48,,,,,,,,,,,
,2013-04-08 21:37:08,1.0,5.0,2.0,1.0,5.0,1.0,2.0,5.0,5.0,2.0,
,2013-04-13 20:01:35,1.0,5.0,3.0,1.0,5.0,1.0,3.0,5.0,4.0,2.0,
,2013-04-14 22:06:42,1.0,3.0,2.0,1.0,4.0,2.0,5.0,5.0,2.0,2.0,
,2013-04-16 07:59:41,1.0,3.0,1.0,2.0,3.0,1.0,5.0,5.0,1.0,3.0,
,2013-04-18 04:40:26,3.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,4.0,2.0,
,2013-04-29 02:28:45,1.0,4.0,1.0,1.0,4.0,2.0,5.0,5.0,2.0,4.0,"43.707177085284,-72.29076125031246"
,2013-05-02 04:58:03,2.0,5.0,1.0,1.0,5.0,1.0,3.0,5.0,4.0,3.0,"43.701542069812284,-72.28814110566113"
,2013-05-05 00:15:50,2.0,4.0,3.0,2.0,3.0,3.0,1.0,2.0,4.0,3.0,"43.70719778634742,-72.29060959750196"
,2013-05-13 02:53:31,1.0,5.0,3.0,1.0,4.0,1.0,3.0,3.0,5.0,3.0,"43.62796792500033,-72.20812016235683"
,2013-05-10 20:08:58,2.0,5.0,2.0,2.0,4.0,1.0,3.0,3.0,4.0,3.0,"43.70578575320415,-72.28875349174373"
,2013-05-11 21:10:58,2.0,5.0,2.0,1.0,5.0,1.0,4.0,5.0,3.0,4.0,"42.33675249495341,-71.14773670332914"
,2013-05-05 06:04:15,1.0,4.0,2.0,1.0,5.0,3.0,4.0,5.0,2.0,3.0,"43.70719463449968,-72.29078116971876"
,2013-05-07 05:59:58,2.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,4.0,3.0,"43.7035966462642,-72.28889475367946"
,2013-05-16 01:15:13,1.0,5.0,1.0,1.0,5.0,1.0,4.0,5.0,2.0,2.0,"43.70715742871212,-72.2907408770181"
,2013-05-04 21:02:22,1.0,5.0,3.0,1.0,3.0,1.0,2.0,3.0,3.0,3.0,"43.70706217313784,-72.290619044666"
,2013-05-04 22:00:57,2.0,4.0,3.0,3.0,4.0,3.0,1.0,3.0,5.0,3.0,"43.707177072888065,-72.29092730930216"
,2013-05-10 07:56:45,3.0,4.0,3.0,1.0,3.0,3.0,2.0,2.0,4.0,2.0,"43.70707527510307,-72.29067710901317"
,2013-05-18 00:18:52,1.0,5.0,1.0,1.0,5.0,1.0,2.0,5.0,5.0,5.0,"43.70600375009001,-72.28871367120003"
,2013-05-19 00:59:45,3.0,4.0,2.0,3.0,4.0,4.0,1.0,3.0,5.0,1.0,"43.707141115502154,-72.29074458556516"
,2013-05-19 22:12:34,1.0,5.0,2.0,1.0,5.0,1.0,2.0,3.0,2.0,3.0,"43.70759989913937,-72.29089176410281"
,2013-05-18 06:34:28,1.0,5.0,1.0,2.0,4.0,1.0,5.0,5.0,1.0,2.0,"43.7071803391446,-72.29073719551904"
,2013-05-17 21:41:48,1.0,5.0,2.0,1.0,3.0,1.0,3.0,4.0,2.0,3.0,"43.70611266496034,-72.28856923567801"
,2013-05-20 02:03:38,2.0,5.0,2.0,1.0,5.0,1.0,2.0,4.0,2.0,2.0,"43.70708760216699,-72.2906677907121"
,2013-05-20 21:37:36,1.0,5.0,1.0,1.0,5.0,1.0,4.0,5.0,2.0,2.0,"43.70726994377907,-72.29067645819752"
,2013-05-23 04:03:15,1.0,5.0,2.0,1.0,5.0,1.0,2.0,5.0,5.0,1.0,"43.70665972786575,-72.28664143953979"
,2013-05-24 07:56:25,1.0,5.0,3.0,1.0,5.0,2.0,4.0,5.0,3.0,2.0,"43.70705546477196,-72.29062002318801"
,2013-05-31 07:52:22,2.0,5.0,1.0,1.0,5.0,1.0,2.0,4.0,4.0,2.0,"43.7072259238806,-72.29061095852634"
