null,resp_time,anxious,calm,conventional,critical,dependable,disorganized,enthusiastic,experiences,reserved,sympathetic
2,2013-04-01 18:00:50,,,,,,,,,,
3,2013-03-31 02:07:50,,,,,,,,,,
4,2013-03-31 09:55:14,,,,,,,,,,
3,2013-04-02 12:21:01,,,,,,,,,,
null,2013-03-27 08:14:22,,,,,,,,,,
4,2013-03-27 09:16:50,,,,,,,,,,
3,2013-03-27 21:49:53,,,,,,,,,,
3,2013-03-27 20:40:50,,,,,,,,,,
2,2013-03-27 23:27:32,,,,,,,,,,
3,2013-03-28 02:33:09,,,,,,,,,,
4,2013-03-28 18:44:55,,,,,,,,,,
2,2013-03-28 01:53:31,,,,,,,,,,
2,2013-03-29 02:19:59,,,,,,,,,,
1,2013-03-29 06:55:33,,,,,,,,,,
3,2013-03-28 06:55:00,,,,,,,,,,
4,2013-03-28 08:35:31,,,,,,,,,,
2,2013-03-28 19:53:49,,,,,,,,,,
2,2013-03-28 04:11:26,,,,,,,,,,
3,2013-03-28 05:36:02,,,,,,,,,,
2,2013-03-28 23:29:01,,,,,,,,,,
3,2013-03-29 03:17:14,,,,,,,,,,
5,2013-03-29 00:31:06,,,,,,,,,,
1,2013-03-29 05:59:18,,,,,,,,,,
3,2013-03-28 23:35:15,,,,,,,,,,
3,2013-03-28 23:29:29,,,,,,,,,,
2,2013-03-29 04:27:12,,,,,,,,,,
2,2013-03-29 20:30:43,,,,,,,,,,
2,2013-03-29 19:02:29,,,,,,,,,,
4,2013-03-29 17:49:47,,,,,,,,,,
3,2013-03-29 20:02:33,,,,,,,,,,
3,2013-03-30 03:36:08,,,,,,,,,,
1,2013-03-30 05:25:54,,,,,,,,,,
3,2013-03-30 10:00:39,,,,,,,,,,
1,2013-03-31 02:07:51,,,,,,,,,,
2,2013-03-31 12:09:49,,,,,,,,,,
4,2013-03-31 07:08:25,,,,,,,,,,
1,2013-03-31 21:38:08,,,,,,,,,,
4,2013-04-02 08:27:00,,,,,,,,,,
5,2013-04-01 01:06:52,,,,,,,,,,
1,2013-04-01 04:51:10,,,,,,,,,,
2,2013-04-01 06:58:16,,,,,,,,,,
3,2013-04-01 23:00:38,,,,,,,,,,
3,2013-04-03 10:12:23,,,,,,,,,,
2,2013-04-03 17:56:25,,,,,,,,,,
4,2013-04-04 20:03:03,,,,,,,,,,
,2013-04-12 08:53:01,2.0,4.0,3.0,1.0,3.0,1.0,4.0,3.0,4.0,4.0
,2013-04-11 20:05:07,2.0,4.0,3.0,2.0,3.0,1.0,4.0,3.0,3.0,5.0
,2013-04-11 19:09:52,2.0,4.0,3.0,2.0,1.0,1.0,3.0,3.0,4.0,3.0
,2013-04-17 08:11:25,2.0,4.0,3.0,2.0,3.0,1.0,2.0,3.0,4.0,4.0
,2013-04-17 03:38:36,1.0,4.0,3.0,1.0,2.0,1.0,4.0,3.0,4.0,2.0
3,2013-04-18 10:45:02,2.0,4.0,3.0,1.0,4.0,1.0,3.0,3.0,5.0,4.0
,2013-04-18 00:34:06,2.0,4.0,3.0,2.0,4.0,1.0,4.0,3.0,4.0,4.0
3,2013-04-18 18:38:04,2.0,4.0,3.0,2.0,4.0,1.0,2.0,3.0,4.0,3.0
"43.70392942,-72.28380603",2013-04-20 06:50:11,2.0,5.0,3.0,2.0,3.0,1.0,3.0,3.0,5.0,3.0
"43.7038116,-72.28442808",2013-04-21 00:59:48,4.0,2.0,3.0,2.0,2.0,1.0,4.0,4.0,4.0,4.0
"43.70413953,-72.28412811",2013-04-22 01:13:46,1.0,4.0,3.0,1.0,4.0,1.0,3.0,4.0,5.0,3.0
"43.70389416,-72.2837747",2013-04-24 02:57:48,4.0,3.0,3.0,5.0,4.0,1.0,4.0,1.0,2.0,5.0
"43.70425769,-72.28391582",2013-04-23 21:29:05,1.0,4.0,3.0,1.0,3.0,1.0,4.0,2.0,4.0,4.0
