null,resp_time,anxious,calm,conventional,critical,dependable,disorganized,enthusiastic,experiences,reserved,sympathetic
3,2013-03-31 21:45:14,,,,,,,,,,
3,2013-04-01 22:50:53,,,,,,,,,,
3,2013-03-30 04:41:01,,,,,,,,,,
3,2013-03-27 07:35:32,,,,,,,,,,
null,2013-03-28 07:20:02,,,,,,,,,,
3,2013-04-04 01:15:10,,,,,,,,,,
2,2013-04-04 20:25:27,,,,,,,,,,
,2013-04-08 21:42:29,2.0,2,5,2.0,2.0,2.0,3.0,1.0,3.0,3.0
,2013-04-11 00:10:28,2.0,3,3,2.0,2.0,4.0,5.0,2.0,1.0,3.0
,2013-04-14 21:43:56,4.0,3,3,3.0,3.0,2.0,3.0,3.0,3.0,3.0
"43.70414897,-72.29048617",2013-04-25 05:03:46,2.0,null,null,3.0,4.0,3.0,3.0,2.0,3.0,3.0
