null,resp_time,anxious,calm,conventional,critical,dependable,disorganized,enthusiastic,experiences,reserved,sympathetic,location
4,2013-04-01 22:33:04,,,,,,,,,,,
1,2013-04-06 23:09:32,,,,,,,,,,,
4,2013-04-07 21:08:37,,,,,,,,,,,
,2013-04-08 23:10:11,2.0,4.0,2.0,1.0,4.0,2.0,4.0,4.0,2.0,4.0,
,2013-04-14 02:32:30,1.0,3.0,2.0,1.0,4.0,2.0,4.0,3.0,3.0,4.0,
,2013-04-17 23:55:45,2.0,3.0,3.0,1.0,4.0,2.0,5.0,3.0,4.0,4.0,
,2013-04-15 23:17:16,2.0,3.0,3.0,1.0,4.0,3.0,5.0,4.0,2.0,4.0,
3,2013-04-18 20:21:18,3.0,4.0,2.0,2.0,4.0,2.0,5.0,4.0,3.0,4.0,
"37.33416754,-121.90417733",2013-04-22 21:14:36,2.0,4.0,2.0,1.0,4.0,2.0,5.0,4.0,3.0,3.0,
,2013-05-16 02:37:14,2.0,3.0,2.0,2.0,4.0,2.0,4.0,4.0,3.0,3.0,"43.70868839,-72.28170061"
,2013-05-17 01:39:03,2.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,2.0,4.0,"43.65178229,-72.30992795"
,2013-05-18 00:05:03,2.0,4.0,2.0,2.0,4.0,2.0,4.0,4.0,3.0,4.0,"43.70476959,-72.296772"
