null,resp_time,anxious,calm,conventional,critical,dependable,disorganized,enthusiastic,experiences,reserved,sympathetic,location
2,2013-04-03 23:03:09,,,,,,,,,,,
1,2013-04-04 01:39:35,,,,,,,,,,,
1,2013-04-03 02:56:44,,,,,,,,,,,
4,2013-04-02 22:04:24,,,,,,,,,,,
null,2013-04-03 20:57:06,,,,,,,,,,,
5,2013-04-03 06:35:28,,,,,,,,,,,
4,2013-04-03 19:10:11,,,,,,,,,,,
1,2013-04-03 00:07:25,,,,,,,,,,,
5,2013-04-03 17:34:43,,,,,,,,,,,
3,2013-04-04 04:45:44,,,,,,,,,,,
1,2013-04-04 23:29:21,,,,,,,,,,,
4,2013-04-06 21:18:19,,,,,,,,,,,
3,2013-04-07 05:41:56,,,,,,,,,,,
5,2013-04-05 02:21:31,,,,,,,,,,,
1,2013-04-05 05:06:46,,,,,,,,,,,
3,2013-04-07 02:01:20,,,,,,,,,,,
5,2013-04-07 09:36:13,,,,,,,,,,,
2,2013-04-06 18:34:55,,,,,,,,,,,
1,2013-04-06 09:25:41,,,,,,,,,,,
1,2013-04-07 20:46:31,,,,,,,,,,,
1,2013-04-07 23:36:00,,,,,,,,,,,
,2013-04-08 20:41:59,1.0,4.0,4,1.0,1.0,3.0,2.0,4.0,4.0,3,
,2013-04-09 01:14:45,1.0,4.0,4,1.0,1.0,5.0,4.0,2.0,2.0,3,
,2013-04-09 22:30:43,4.0,3.0,4,2.0,3.0,3.0,2.0,2.0,4.0,1,
,2013-04-10 00:32:31,4.0,3.0,5,1.0,1.0,4.0,2.0,1.0,3.0,1,
,2013-04-10 07:52:32,2.0,4.0,4,2.0,2.0,4.0,2.0,2.0,4.0,2,
,2013-04-11 02:34:22,4.0,4.0,4,2.0,3.0,3.0,2.0,3.0,4.0,3,
,2013-04-17 22:51:50,2.0,4.0,4,3.0,4.0,2.0,3.0,4.0,4.0,3,
"43.69212123,-72.2668641",2013-04-18 23:22:55,2.0,5.0,3,2.0,4.0,2.0,3.0,5.0,5.0,3,
,2013-04-12 00:21:19,3.0,4.0,4,2.0,2.0,4.0,3.0,2.0,4.0,2,
,2013-04-12 21:36:44,4.0,3.0,4,2.0,3.0,3.0,3.0,2.0,4.0,2,
,2013-04-16 21:40:03,2.0,3.0,4,2.0,2.0,2.0,2.0,2.0,4.0,4,
,2013-04-16 02:51:07,2.0,4.0,3,2.0,3.0,2.0,5.0,3.0,2.0,4,
3,2013-04-18 18:39:41,2.0,4.0,3,2.0,4.0,2.0,3.0,4.0,4.0,2,
3,2013-04-18 20:52:49,2.0,4.0,4,2.0,2.0,2.0,4.0,4.0,4.0,3,
"43.70311929,-72.28220394",2013-04-19 21:11:23,1.0,4.0,5,1.0,1.0,4.0,3.0,4.0,4.0,3,
,2013-04-29 19:57:04,2.0,4.0,4,2.0,2.0,4.0,2.0,4.0,4.0,4,"43.70907937,-72.2835377"
"43.70938367,-72.28461173",2013-04-20 17:57:08,3.0,2.0,4,4.0,2.0,3.0,2.0,3.0,4.0,1,
"43.71001344,-72.28347722",2013-04-20 02:35:09,1.0,3.0,3,2.0,2.0,4.0,4.0,4.0,1.0,4,
"43.69206025,-72.26697329",2013-04-20 05:43:01,1.0,5.0,5,1.0,1.0,4.0,1.0,1.0,5.0,4,
,2013-04-29 02:55:45,3.0,4.0,4,2.0,4.0,2.0,2.0,4.0,5.0,2,"43.69149444,-72.26930575"
"43.70783926,-72.28623266",2013-04-21 19:21:11,2.0,5.0,3,2.0,4.0,2.0,3.0,3.0,5.0,4,
"43.70791477,-72.28597094",2013-04-21 21:02:35,2.0,4.0,4,2.0,3.0,3.0,3.0,2.0,4.0,2,
"43.6919873,-72.26729456",2013-04-22 05:14:01,4.0,3.0,4,2.0,3.0,4.0,2.0,3.0,4.0,3,
"43.70957133,-72.28436521",2013-04-23 06:23:40,5.0,1.0,3,5.0,3.0,3.0,3.0,3.0,1.0,1,
"43.69935873,-72.28135033",2013-04-25 00:28:10,3.0,4.0,4,2.0,3.0,3.0,3.0,4.0,4.0,2,
"43.69935873,-72.28135033",2013-04-25 02:49:49,2.0,4.0,3,2.0,4.0,2.0,3.0,4.0,5.0,3,
"43.69231797,-72.26697584",2013-04-23 23:50:32,4.0,2.0,5,2.0,2.0,5.0,2.0,1.0,4.0,1,
,2013-04-29 17:26:21,3.0,4.0,4,2.0,4.0,2.0,2.0,4.0,4.0,3,"43.70907937,-72.2835377"
"43.6921374,-72.2672054",2013-04-23 20:49:43,4.0,2.0,4,3.0,1.0,4.0,2.0,2.0,4.0,1,
,2013-04-27 05:08:43,2.0,4.0,3,2.0,4.0,2.0,2.0,4.0,4.0,2,"43.69223254,-72.26690048"
,2013-04-25 23:03:05,2.0,4.0,4,2.0,2.0,2.0,4.0,2.0,3.0,3,"43.6920329,-72.26703169"
,2013-04-25 20:03:00,2.0,4.0,4,2.0,2.0,3.0,2.0,2.0,4.0,3,"43.69204021,-72.26704589"
,2013-04-28 00:30:06,3.0,2.0,2,2.0,4.0,3.0,2.0,3.0,4.0,null,Unknown
,2013-04-27 20:55:11,2.0,4.0,4,2.0,2.0,3.0,3.0,2.0,4.0,4,Unknown
,2013-04-29 04:30:25,2.0,4.0,4,2.0,2.0,4.0,2.0,2.0,4.0,3,"43.69193132,-72.26713925"
,2013-04-30 22:09:41,2.0,3.0,4,2.0,3.0,2.0,2.0,2.0,3.0,4,"43.69236154,-72.2671355"
,2013-04-30 08:16:09,4.0,2.0,null,4.0,4.0,3.0,2.0,3.0,3.0,1,"43.70686583,-72.28642543"
,2013-05-01 02:35:55,2.0,4.0,4,2.0,2.0,2.0,2.0,2.0,5.0,3,"43.69228097,-72.26707875"
,2013-05-02 02:46:56,2.0,4.0,4,2.0,2.0,4.0,2.0,2.0,4.0,3,"43.69226178,-72.26680454"
,2013-05-02 21:01:36,2.0,4.0,null,2.0,2.0,4.0,2.0,2.0,4.0,4,"43.7077776,-72.28626495"
,2013-05-15 00:55:50,2.0,4.0,4,2.0,2.0,4.0,2.0,2.0,4.0,3,"43.69175278,-72.26719117"
,2013-05-16 21:54:36,3.0,4.0,4,2.0,4.0,2.0,3.0,4.0,4.0,2,"43.69229577,-72.26673522"
,2013-05-05 18:54:54,2.0,4.0,5,2.0,2.0,3.0,2.0,2.0,4.0,5,"43.69191403,-72.26719854"
,2013-05-08 21:50:14,2.0,3.0,5,2.0,2.0,4.0,2.0,2.0,3.0,2,"43.69230186,-72.26682816"
,2013-05-09 06:08:49,3.0,1.0,2,4.0,1.0,5.0,5.0,4.0,1.0,3,"43.69230186,-72.26682816"
,2013-05-08 04:25:11,2.0,4.0,4,2.0,4.0,2.0,4.0,4.0,4.0,3,"43.69225186,-72.26702125"
,2013-05-12 04:31:16,2.0,3.0,4,2.0,2.0,4.0,4.0,2.0,4.0,4,"43.69228725,-72.26686018"
,2013-05-16 04:29:32,2.0,3.0,4,2.0,2.0,4.0,2.0,2.0,4.0,2,"43.69229581,-72.26675633"
,2013-05-13 23:04:36,2.0,4.0,null,2.0,4.0,2.0,2.0,2.0,5.0,2,"43.69227839,-72.26699842"
,2013-05-12 18:16:20,2.0,3.0,4,2.0,2.0,4.0,4.0,4.0,4.0,4,"43.69237933,-72.26651666"
,2013-05-06 20:11:19,4.0,2.0,null,4.0,3.0,2.0,4.0,4.0,3.0,2,"43.70691341,-72.28711558"
,2013-05-09 20:37:36,2.0,3.0,4,2.0,2.0,4.0,5.0,5.0,2.0,5,"43.69230186,-72.26682816"
,2013-05-15 20:29:39,3.0,3.0,4,2.0,2.0,4.0,4.0,2.0,4.0,2,"43.69211916,-72.26702376"
,2013-05-03 20:11:16,2.0,4.0,4,2.0,2.0,4.0,2.0,2.0,4.0,2,"43.70976741,-72.28416244"
,2013-05-06 06:00:52,1.0,5.0,5,2.0,2.0,5.0,5.0,3.0,1.0,5,"43.70697752,-72.28728895"
,2013-05-04 03:31:18,2.0,3.0,4,2.0,2.0,2.0,4.0,4.0,4.0,3,"43.69205369,-72.26669053"
,2013-05-05 22:42:41,2.0,4.0,4,2.0,4.0,2.0,2.0,4.0,4.0,2,"43.70747184,-72.2873165"
,2013-05-08 19:39:24,3.0,4.0,4,2.0,2.0,3.0,2.0,2.0,4.0,2,"43.69230186,-72.26682816"
,2013-05-09 17:39:56,2.0,4.0,4,2.0,2.0,4.0,2.0,2.0,4.0,4,"43.69230186,-72.26682816"
,2013-05-14 23:57:36,5.0,2.0,4,4.0,4.0,2.0,2.0,2.0,3.0,1,"43.69175278,-72.26719117"
,2013-05-16 18:42:39,2.0,4.0,4,2.0,2.0,4.0,2.0,2.0,5.0,3,"43.69229577,-72.26673522"
,2013-05-17 05:56:39,3.0,2.0,3,4.0,2.0,4.0,4.0,4.0,2.0,3,"43.69430156,-72.26583813"
,2013-05-15 02:16:06,4.0,2.0,4,4.0,4.0,2.0,2.0,4.0,4.0,2,"43.69175278,-72.26719117"
,2013-05-15 18:52:06,4.0,3.0,4,4.0,2.0,4.0,4.0,4.0,2.0,2,"43.70340225,-72.28785033"
,2013-05-19 01:47:40,2.0,4.0,4,2.0,4.0,2.0,2.0,4.0,4.0,2,"43.692126,-72.26679446"
,2013-05-18 03:10:45,4.0,2.0,null,2.0,2.0,4.0,2.0,4.0,4.0,4,"43.69222912,-72.26689915"
,2013-05-18 21:20:26,2.0,4.0,4,2.0,2.0,4.0,4.0,4.0,4.0,3,"43.692126,-72.26679446"
,2013-05-19 19:36:39,2.0,4.0,4,3.0,4.0,2.0,4.0,4.0,1.0,4,"43.69229367,-72.26694165"
,2013-05-20 01:03:13,2.0,4.0,4,2.0,2.0,4.0,2.0,2.0,5.0,2,"43.69219298,-72.26689427"
,2013-05-17 21:56:16,4.0,2.0,3,3.0,2.0,2.0,2.0,4.0,1.0,2,"43.69222912,-72.26689915"
,2013-05-18 00:15:50,2.0,3.0,4,2.0,2.0,4.0,2.0,2.0,4.0,2,"43.69222912,-72.26689915"
,2013-05-21 05:10:41,3.0,4.0,4,2.0,4.0,2.0,3.0,4.0,5.0,2,"43.69211344,-72.26691226"
,2013-05-21 06:48:54,2.0,4.0,4,2.0,4.0,2.0,2.0,2.0,4.0,2,"43.69216296,-72.26701332"
,2013-05-23 00:33:47,4.0,2.0,4,4.0,4.0,2.0,4.0,4.0,3.0,2,"43.69204241,-72.26714416"
,2013-05-24 01:05:37,4.0,4.0,4,2.0,4.0,2.0,2.0,4.0,3.0,2,"43.70408086,-72.28236722"
