null,resp_time,anxious,calm,conventional,critical,dependable,disorganized,enthusiastic,experiences,reserved,sympathetic,location
3,2013-03-27 22:53:57,,,,,,,,,,,
2,2013-03-28 00:29:51,,,,,,,,,,,
null,2013-03-27 21:09:31,,,,,,,,,,,
1,2013-03-29 09:13:34,,,,,,,,,,,
2,2013-03-29 21:03:10,,,,,,,,,,,
1,2013-03-30 19:33:21,,,,,,,,,,,
5,2013-04-01 08:48:03,,,,,,,,,,,
3,2013-04-03 21:31:28,,,,,,,,,,,
5,2013-04-02 01:25:19,,,,,,,,,,,
4,2013-04-07 22:06:10,,,,,,,,,,,
,2013-04-13 20:57:55,3.0,4,null,3.0,3.0,4,2.0,2.0,4.0,3.0,
,2013-04-12 08:13:50,2.0,4,3,2.0,4.0,4,2.0,3.0,1.0,2.0,
,2013-04-14 09:13:06,4.0,2,2,4.0,1.0,5,2.0,2.0,2.0,4.0,
,2013-05-17 00:48:21,2.0,null,null,1.0,3.0,null,1.0,3.0,2.0,2.0,"43.70610596,-72.29091217"
