null,resp_time,anxious,calm,conventional,critical,dependable,disorganized,enthusiastic,experiences,reserved,sympathetic,location
1,2013-03-29 03:23:55,,,,,,,,,,,
4,2013-03-29 23:36:37,,,,,,,,,,,
2,2013-03-31 19:18:27,,,,,,,,,,,
4,2013-04-03 18:56:43,,,,,,,,,,,
1,2013-04-06 22:01:54,,,,,,,,,,,
,2013-04-09 00:51:55,1.0,4.0,3.0,1.0,4.0,1.0,4.0,4.0,1.0,3.0,
,2013-04-17 20:39:21,4.0,3.0,3.0,1.0,4.0,1.0,4.0,2.0,3.0,4.0,
,2013-04-16 21:46:40,2.0,4.0,2.0,1.0,4.0,1.0,2.0,4.0,4.0,4.0,
"41.23064284,-73.0728831",2013-04-20 22:09:19,1.0,4.0,3.0,1.0,2.0,1.0,4.0,3.0,1.0,4.0,
"41.23064284,-73.0728831",2013-04-22 05:20:13,1.0,4.0,3.0,1.0,3.0,1.0,2.0,3.0,4.0,3.0,
,2013-04-29 18:00:27,2.0,4.0,3.0,1.0,4.0,1.0,2.0,3.0,4.0,3.0,"43.70906142,-72.28431236"
