null,resp_time,anxious,calm,conventional,critical,dependable,disorganized,enthusiastic,experiences,reserved,sympathetic,location
3,2013-03-27 20:03:56,,,,,,,,,,,
2,2013-03-28 07:11:14,,,,,,,,,,,
3,2013-04-01 23:01:16,,,,,,,,,,,
3,2013-04-02 21:26:07,,,,,,,,,,,
,2013-04-17 20:09:41,4.0,2.0,3,5.0,3.0,3.0,1.0,2.0,2.0,1.0,
,2013-04-12 05:03:42,1.0,4.0,3,1.0,3.0,2.0,2.0,3.0,4.0,3.0,
,2013-04-16 20:05:30,2.0,4.0,null,1.0,4.0,3.0,3.0,3.0,3.0,2.0,
,2013-04-13 06:04:46,2.0,4.0,3,1.0,3.0,2.0,4.0,3.0,4.0,3.0,
5,2013-04-18 20:02:55,1.0,4.0,3,2.0,4.0,2.0,4.0,3.0,2.0,3.0,
"43.70618421,-72.2869988",2013-04-25 05:35:48,1.0,3.0,3,3.0,4.0,2.0,4.0,4.0,2.0,3.0,
,2013-05-15 00:59:20,2.0,3.0,3,1.0,3.0,1.0,4.0,4.0,3.0,4.0,"43.70202283,-72.28836255"
,2013-05-08 17:57:09,1.0,5.0,3,1.0,5.0,2.0,3.0,3.0,4.0,3.0,"43.70767843,-72.28476978"
