null,resp_time,anxious,calm,conventional,critical,dependable,disorganized,enthusiastic,experiences,reserved,sympathetic,location
3,2013-03-27 08:13:34,,,,,,,,,,,
null,2013-03-27 10:25:48,,,,,,,,,,,
3,2013-03-28 02:24:38,,,,,,,,,,,
3,2013-03-29 16:05:43,,,,,,,,,,,
5,2013-04-04 00:29:00,,,,,,,,,,,
,2013-04-08 21:04:28,4.0,4,5,2.0,3,3,4,4,3,4,
3,2013-04-07 21:01:46,,,,,,,,,,,
4,2013-04-05 20:36:51,,,,,,,,,,,
3,2013-04-06 21:28:01,,,,,,,,,,,
,2013-04-10 19:19:47,5.0,3,3,1.0,4,4,4,3,1,4,
,2013-04-16 20:58:39,4.0,3,3,3.0,4,2,4,4,2,4,
,2013-04-17 20:17:57,4.0,5,2,1.0,4,3,5,3,1,4,
"43.70082504,-72.28929272",2013-04-22 20:42:22,3.0,3,3,3.0,3,3,3,4,3,4,
"43.759114,-72.32922421",2013-04-25 05:26:27,5.0,3,4,5.0,3,4,2,1,3,4,
,2013-04-26 20:41:51,5.0,3,4,2.0,5,1,4,3,1,3,"43.7029479,-72.28940835"
,2013-05-16 00:04:55,3.0,2,2,3.0,3,2,3,2,2,2,"43.70665493,-72.28692711"
,2013-05-15 00:06:54,3.0,null,null,3.0,3,3,3,3,3,3,"43.6454475,-72.31806167"
,2013-05-18 00:36:39,4.0,4,3,2.0,3,3,2,3,5,4,Unknown
,2013-05-19 21:03:33,3.0,3,2,3.0,3,3,3,3,null,2,Unknown
,2013-05-21 16:34:28,4.0,2,3,5.0,3,3,1,2,3,1,"43.70625307,-72.28700801"
,2013-08-08 00:47:52,2.0,null,null,1.0,null,null,null,null,null,null,"43.71339054,-72.30883507"
