null,resp_time,anxious,calm,conventional,critical,dependable,disorganized,enthusiastic,experiences,reserved,sympathetic
4,2013-04-01 22:36:25,,,,,,,,,,
5,2013-03-28 00:22:26,,,,,,,,,,
1,2013-03-28 07:21:20,,,,,,,,,,
,2013-04-08 21:51:06,4.0,2.0,3.0,3.0,3.0,3.0,1.0,2.0,5.0,3.0
1,2013-04-05 15:02:15,,,,,,,,,,
1,2013-04-06 21:50:58,,,,,,,,,,
1,2013-04-06 18:55:37,,,,,,,,,,
3,2013-04-07 23:39:42,,,,,,,,,,
,2013-04-16 20:00:17,4.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,5.0,4.0
,2013-04-17 20:04:09,4.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,5.0,4.0
null,2013-04-18 20:00:40,3.0,4.0,3.0,1.0,4.0,1.0,4.0,2.0,4.0,5.0
