null,resp_time,anxious,calm,conventional,critical,dependable,disorganized,enthusiastic,experiences,reserved,sympathetic,location
2,2013-03-30 23:38:58,,,,,,,,,,,
2,2013-03-31 09:37:37,,,,,,,,,,,
3,2013-03-31 03:48:48,,,,,,,,,,,
5,2013-03-27 17:57:03,,,,,,,,,,,
3,2013-03-27 20:33:46,,,,,,,,,,,
2,2013-03-28 18:03:23,,,,,,,,,,,
5,2013-03-28 03:03:24,,,,,,,,,,,
1,2013-03-28 06:18:36,,,,,,,,,,,
3,2013-03-29 04:06:12,,,,,,,,,,,
3,2013-03-28 21:45:01,,,,,,,,,,,
3,2013-03-29 16:53:50,,,,,,,,,,,
2,2013-03-31 21:46:54,,,,,,,,,,,
1,2013-04-01 02:47:56,,,,,,,,,,,
4,2013-04-01 23:50:16,,,,,,,,,,,
4,2013-04-01 09:10:06,,,,,,,,,,,
3,2013-04-02 16:50:50,,,,,,,,,,,
2,2013-04-03 16:23:11,,,,,,,,,,,
2,2013-04-01 17:55:28,,,,,,,,,,,
1,2013-04-02 20:55:00,,,,,,,,,,,
2,2013-04-03 05:58:42,,,,,,,,,,,
3,2013-04-03 22:59:44,,,,,,,,,,,
4,2013-04-03 21:41:08,,,,,,,,,,,
2,2013-04-04 16:58:40,,,,,,,,,,,
3,2013-04-05 03:27:04,,,,,,,,,,,
2,2013-04-05 00:43:59,,,,,,,,,,,
3,2013-04-07 00:17:01,,,,,,,,,,,
1,2013-04-07 08:07:17,,,,,,,,,,,
3,2013-04-05 16:01:07,,,,,,,,,,,
,2013-04-08 06:01:14,2.0,4.0,3.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0,
2,2013-04-07 21:34:11,,,,,,,,,,,
,2013-04-08 17:57:14,2.0,4.0,2.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,
,2013-04-08 18:45:00,2.0,4.0,1.0,2.0,5.0,1.0,4.0,4.0,5.0,5.0,
,2013-04-08 21:37:53,2.0,4.0,3.0,3.0,5.0,2.0,2.0,3.0,4.0,4.0,
,2013-04-10 02:55:31,2.0,5.0,2.0,1.0,4.0,2.0,3.0,4.0,4.0,5.0,
,2013-04-12 01:43:23,2.0,5.0,2.0,3.0,5.0,2.0,4.0,3.0,5.0,5.0,
,2013-04-10 09:48:04,2.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,
,2013-04-11 09:59:47,3.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,
,2013-04-13 01:05:59,2.0,5.0,3.0,2.0,3.0,3.0,2.0,1.0,5.0,5.0,
,2013-04-14 00:10:15,2.0,5.0,2.0,2.0,5.0,1.0,3.0,3.0,5.0,5.0,
,2013-04-14 20:05:54,2.0,5.0,2.0,1.0,5.0,2.0,4.0,4.0,5.0,5.0,
,2013-04-16 00:18:02,2.0,5.0,2.0,2.0,5.0,2.0,4.0,5.0,4.0,5.0,
3,2013-04-18 20:02:56,2.0,5.0,2.0,2.0,5.0,2.0,5.0,5.0,3.0,4.0,
"43.70400148909539,-72.28680146858096",2013-04-19 16:01:34,2.0,4.0,2.0,2.0,4.0,2.0,2.0,3.0,4.0,3.0,
"43.70582476258278,-72.29042178019881",2013-04-19 20:54:07,2.0,4.0,2.0,2.0,4.0,2.0,5.0,5.0,3.0,4.0,
"43.70551781728864,-72.27844043634832",2013-04-21 09:44:56,3.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,4.0,3.0,
"43.70345394127071,-72.29087851010263",2013-04-22 04:18:14,1.0,5.0,2.0,1.0,4.0,2.0,5.0,5.0,1.0,5.0,
"43.70581110008061,-72.28759649209678",2013-04-22 17:57:06,2.0,4.0,3.0,3.0,4.0,2.0,4.0,3.0,4.0,4.0,
Unknown,2013-04-24 02:30:48,1.0,4.0,4.0,2.0,2.0,3.0,1.0,1.0,5.0,3.0,
,2013-04-26 04:36:51,2.0,3.0,3.0,1.0,5.0,1.0,3.0,2.0,5.0,3.0,"43.705345443449914,-72.29143733158708"
,2013-04-27 22:08:59,2.0,4.0,2.0,2.0,4.0,3.0,5.0,3.0,3.0,4.0,Unknown
,2013-04-26 08:18:47,2.0,4.0,2.0,2.0,5.0,1.0,4.0,3.0,2.0,3.0,"43.705437812022865,-72.29115846566856"
,2013-04-26 21:41:22,3.0,5.0,2.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,"43.70548462495208,-72.29094330221415"
,2013-04-29 08:15:02,3.0,3.0,2.0,3.0,4.0,1.0,3.0,2.0,5.0,3.0,"43.706689733080566,-72.28658253327012"
