null,resp_time,anxious,calm,conventional,critical,dependable,disorganized,enthusiastic,experiences,reserved,sympathetic,location
3,2013-03-28 00:08:58,,,,,,,,,,,
3,2013-03-31 23:50:42,,,,,,,,,,,
1,2013-03-31 23:50:32,,,,,,,,,,,
4,2013-04-07 18:12:44,,,,,,,,,,,
,2013-04-09 17:05:21,1.0,5.0,3,4.0,4.0,1.0,3.0,5.0,4.0,3.0,
"43.70540355,-72.28320151",2013-04-21 17:17:49,3.0,3.0,3,3.0,5.0,1.0,3.0,4.0,4.0,3.0,
"43.70536246,-72.28320682",2013-04-22 15:23:27,1.0,4.0,3,3.0,5.0,1.0,4.0,3.0,4.0,3.0,
"43.70532879,-72.2834347",2013-04-24 01:00:11,1.0,3.0,3,3.0,5.0,1.0,3.0,3.0,4.0,2.0,
,2013-05-06 01:19:04,3.0,2.0,3,3.0,1.0,3.0,3.0,3.0,2.0,2.0,"43.70525531,-72.28306569"
,2013-05-12 19:34:20,1.0,4.0,null,1.0,5.0,2.0,4.0,5.0,4.0,4.0,"43.70579533,-72.28356911"
