null,resp_time,anxious,calm,conventional,critical,dependable,disorganized,enthusiastic,experiences,reserved,sympathetic
1,2013-04-03 22:05:33,,,,,,,,,,
2,2013-04-01 23:56:08,,,,,,,,,,
3,2013-04-03 02:32:55,,,,,,,,,,
2,2013-04-02 07:39:22,,,,,,,,,,
4,2013-04-03 04:49:47,,,,,,,,,,
4,2013-04-01 22:40:51,,,,,,,,,,
4,2013-04-02 01:42:42,,,,,,,,,,
2,2013-04-02 04:35:50,,,,,,,,,,
2,2013-04-03 19:45:59,,,,,,,,,,
2,2013-04-04 03:17:46,,,,,,,,,,
2,2013-04-05 00:17:08,,,,,,,,,,
4,2013-04-04 23:10:11,,,,,,,,,,
3,2013-04-05 00:46:17,,,,,,,,,,
2,2013-04-06 21:42:28,,,,,,,,,,
2,2013-04-07 07:12:56,,,,,,,,,,
,2013-04-08 22:10:22,2.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,4.0,2.0
3,2013-04-06 00:51:01,,,,,,,,,,
4,2013-04-06 07:47:17,,,,,,,,,,
2,2013-04-05 20:48:58,,,,,,,,,,
2,2013-04-07 08:21:14,,,,,,,,,,
4,2013-04-07 18:48:57,,,,,,,,,,
5,2013-04-07 21:37:28,,,,,,,,,,
,2013-04-08 23:26:42,2.0,5.0,4.0,1.0,5.0,2.0,3.0,3.0,3.0,2.0
,2013-04-10 19:53:20,2.0,4.0,3.0,1.0,4.0,2.0,4.0,2.0,3.0,4.0
,2013-04-10 07:39:48,2.0,4.0,3.0,1.0,3.0,2.0,4.0,3.0,2.0,4.0
,2013-04-16 21:03:06,2.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,2.0,2.0
,2013-04-13 05:23:30,1.0,4.0,3.0,2.0,3.0,3.0,4.0,4.0,2.0,4.0
,2013-04-15 02:14:14,2.0,4.0,4.0,1.0,4.0,2.0,1.0,3.0,4.0,2.0
,2013-04-17 21:42:14,2.0,4.0,3.0,1.0,4.0,2.0,3.0,4.0,2.0,2.0
3,2013-04-18 20:01:10,2.0,4.0,2.0,2.0,5.0,2.0,4.0,4.0,2.0,2.0
"44.17443368,-69.83350257",2013-04-22 02:18:33,2.0,4.0,2.0,2.0,3.0,2.0,3.0,4.0,2.0,3.0
