null,resp_time,anxious,calm,conventional,critical,dependable,disorganized,enthusiastic,experiences,reserved,sympathetic
3.0,2013-03-30 22:36:39,,,,,,,,,,
3.0,2013-03-27 06:51:24,,,,,,,,,,
3.0,2013-03-28 15:12:50,,,,,,,,,,
2.0,2013-04-03 16:46:24,,,,,,,,,,
4.0,2013-04-03 16:53:35,,,,,,,,,,
2.0,2013-04-04 15:36:57,,,,,,,,,,
,2013-04-08 22:08:44,2.0,3.0,3.0,2.0,4.0,2.0,3.0,3.0,4.0,3.0
,2013-04-17 21:05:47,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0
,2013-04-11 23:26:26,4.0,2.0,3.0,4.0,2.0,4.0,3.0,3.0,4.0,3.0
,2013-04-12 04:39:54,4.0,2.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0
