null,resp_time,anxious,calm,conventional,critical,dependable,disorganized,enthusiastic,experiences,reserved,sympathetic,location
1,2013-03-27 23:50:13,,,,,,,,,,,
1,2013-03-28 19:59:29,,,,,,,,,,,
1,2013-03-29 21:32:48,,,,,,,,,,,
1,2013-04-03 08:10:03,,,,,,,,,,,
5,2013-04-01 06:22:50,,,,,,,,,,,
1,2013-04-01 06:22:51,,,,,,,,,,,
4,2013-04-01 06:22:48,,,,,,,,,,,
2,2013-04-01 19:09:04,,,,,,,,,,,
4,2013-04-05 02:23:09,,,,,,,,,,,
2,2013-04-06 03:05:05,,,,,,,,,,,
4,2013-04-08 17:19:11,,,,,,,,,,,
,2013-04-09 09:06:44,4.0,2.0,3.0,1.0,3.0,2.0,2.0,2.0,1.0,3.0,
,2013-04-13 22:54:41,4.0,4.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,4.0,
"43.70760794,-72.28582304",2013-04-19 02:02:41,1.0,4.0,3.0,1.0,4.0,1.0,3.0,2.0,4.0,3.0,
"43.70760794,-72.28582304",2013-04-19 02:03:09,1.0,4.0,3.0,1.0,4.0,1.0,3.0,2.0,4.0,3.0,
"43.7025482,-72.28370453",2013-04-19 06:39:43,1.0,4.0,4.0,1.0,4.0,1.0,2.0,3.0,4.0,2.0,
,2013-05-16 00:11:39,1.0,4.0,2.0,1.0,4.0,2.0,2.0,2.0,4.0,3.0,"43.70550264,-72.28311041"
,2013-05-18 00:27:02,2.0,4.0,2.0,1.0,4.0,1.0,4.0,2.0,3.0,4.0,"43.70561082,-72.28332157"
