null,resp_time,anxious,calm,conventional,critical,dependable,disorganized,enthusiastic,experiences,reserved,sympathetic,location
3,2013-03-27 21:07:57,,,,,,,,,,,
2,2013-03-27 09:11:10,,,,,,,,,,,
3,2013-03-28 04:54:13,,,,,,,,,,,
3,2013-03-28 02:42:01,,,,,,,,,,,
2,2013-03-28 19:39:21,,,,,,,,,,,
3,2013-03-28 06:00:31,,,,,,,,,,,
3,2013-03-28 07:58:11,,,,,,,,,,,
2,2013-03-28 23:13:27,,,,,,,,,,,
3,2013-03-29 17:43:36,,,,,,,,,,,
2,2013-03-29 21:05:28,,,,,,,,,,,
4,2013-03-30 20:39:16,,,,,,,,,,,
2,2013-03-31 02:52:42,,,,,,,,,,,
4,2013-04-01 07:15:19,,,,,,,,,,,
3,2013-04-01 01:37:29,,,,,,,,,,,
2,2013-04-01 06:26:48,,,,,,,,,,,
4,2013-04-01 09:21:03,,,,,,,,,,,
4,2013-04-03 06:39:12,,,,,,,,,,,
4,2013-04-01 16:51:13,,,,,,,,,,,
2,2013-04-01 20:30:41,,,,,,,,,,,
3,2013-04-02 01:32:42,,,,,,,,,,,
2,2013-04-03 10:05:35,,,,,,,,,,,
4,2013-04-03 02:31:01,,,,,,,,,,,
2,2013-04-03 03:25:38,,,,,,,,,,,
1,2013-04-03 17:38:50,,,,,,,,,,,
3,2013-04-04 19:45:46,,,,,,,,,,,
4,2013-04-04 05:52:09,,,,,,,,,,,
4,2013-04-05 18:16:04,,,,,,,,,,,
2,2013-04-07 01:27:35,,,,,,,,,,,
5,2013-04-07 03:55:27,,,,,,,,,,,
,2013-04-08 02:54:42,1.0,4.0,4,2.0,5.0,2.0,4.0,4.0,3.0,2.0,
,2013-04-15 07:22:28,4.0,3.0,5,3.0,5.0,3.0,3.0,2.0,3.0,3.0,
,2013-04-09 09:35:59,2.0,4.0,3,2.0,4.0,2.0,4.0,4.0,5.0,3.0,
,2013-04-12 02:20:25,2.0,5.0,4,2.0,4.0,3.0,4.0,2.0,5.0,4.0,
,2013-04-10 10:33:13,3.0,5.0,4,2.0,4.0,2.0,2.0,2.0,4.0,3.0,
,2013-04-11 03:37:42,3.0,4.0,4,2.0,4.0,2.0,4.0,4.0,2.0,4.0,
,2013-04-12 12:36:12,5.0,3.0,4,3.0,4.0,3.0,1.0,2.0,4.0,2.0,
,2013-04-13 11:34:04,2.0,4.0,3,2.0,5.0,2.0,5.0,5.0,3.0,5.0,
,2013-04-15 04:07:16,3.0,5.0,5,2.0,4.0,4.0,2.0,4.0,3.0,4.0,
,2013-04-14 05:39:49,4.0,4.0,4,2.0,4.0,2.0,2.0,2.0,5.0,3.0,
,2013-04-16 04:12:27,4.0,2.0,4,5.0,4.0,4.0,2.0,2.0,3.0,4.0,
,2013-04-17 03:56:52,3.0,4.0,4,2.0,4.0,2.0,2.0,3.0,4.0,3.0,
null,2013-04-18 20:32:39,2.0,5.0,5,2.0,4.0,2.0,2.0,3.0,4.0,3.0,
,2013-04-18 06:05:07,4.0,2.0,4,3.0,4.0,4.0,1.0,2.0,4.0,3.0,
"43.70518194,-72.28800233",2013-04-20 20:19:45,3.0,4.0,5,1.0,1.0,4.0,1.0,2.0,5.0,2.0,
"43.70406215,-72.28755806",2013-04-21 20:19:30,2.0,4.0,4,2.0,4.0,4.0,2.0,3.0,5.0,2.0,
"43.70466963,-72.28690138",2013-04-24 21:09:44,2.0,4.0,4,1.0,4.0,2.0,4.0,2.0,4.0,4.0,
"43.70522947,-72.29139506",2013-04-23 22:44:14,2.0,5.0,4,1.0,4.0,2.0,4.0,4.0,2.0,5.0,
"43.70406643,-72.29080428",2013-04-25 00:54:44,2.0,4.0,4,2.0,5.0,2.0,2.0,4.0,5.0,5.0,
"43.70466963,-72.28690138",2013-04-24 02:20:29,3.0,5.0,4,1.0,4.0,2.0,3.0,5.0,4.0,4.0,
"43.7052687,-72.28811786",2013-04-23 06:28:21,2.0,5.0,4,2.0,5.0,1.0,2.0,2.0,5.0,2.0,
"43.7052687,-72.28811786",2013-04-23 11:45:51,4.0,4.0,4,1.0,4.0,2.0,4.0,4.0,4.0,4.0,
"43.70466963,-72.28690138",2013-04-24 07:10:19,2.0,4.0,4,1.0,4.0,2.0,4.0,4.0,3.0,4.0,
,2013-04-26 07:14:03,2.0,4.0,4,2.0,5.0,2.0,3.0,4.0,4.0,4.0,"43.70277439,-72.28880163"
,2013-04-25 21:55:48,2.0,4.0,4,2.0,4.0,2.0,4.0,4.0,4.0,4.0,"43.70343829,-72.28645877"
,2013-04-27 00:29:06,4.0,3.0,4,1.0,4.0,2.0,1.0,2.0,4.0,3.0,"43.70295661,-72.28995533"
,2013-05-02 01:21:53,1.0,5.0,3,1.0,5.0,2.0,5.0,4.0,2.0,4.0,"43.70086878,-72.28956496"
,2013-05-01 21:55:39,2.0,4.0,4,2.0,4.0,4.0,2.0,4.0,3.0,5.0,"43.70708811,-72.28767562"
,2013-05-01 09:15:56,2.0,4.0,null,2.0,4.0,2.0,2.0,4.0,3.0,4.0,"43.70708811,-72.28767562"
,2013-05-17 00:01:42,3.0,3.0,3,3.0,3.0,3.0,4.0,3.0,3.0,3.0,Unknown
,2013-05-05 09:18:56,2.0,5.0,5,1.0,4.0,2.0,5.0,4.0,2.0,4.0,"43.7037094,-72.28660102"
,2013-05-07 03:50:46,2.0,4.0,4,2.0,4.0,2.0,2.0,3.0,4.0,3.0,"43.7049437,-72.28880281"
,2013-05-19 22:36:44,5.0,2.0,5,3.0,3.0,4.0,1.0,2.0,4.0,2.0,"43.70464992,-72.28729712"
,2013-05-23 13:38:18,3.0,4.0,4,1.0,1.0,4.0,1.0,1.0,4.0,3.0,"43.70447785,-72.29155849"
