null,resp_time,anxious,calm,conventional,critical,dependable,disorganized,enthusiastic,experiences,reserved,sympathetic
3,2013-03-30 17:15:15,,,,,,,,,,
null,2013-03-27 23:50:55,,,,,,,,,,
4,2013-03-28 06:14:20,,,,,,,,,,
3,2013-03-28 18:21:55,,,,,,,,,,
4,2013-03-29 02:31:28,,,,,,,,,,
4,2013-03-28 01:49:49,,,,,,,,,,
4,2013-03-29 06:00:26,,,,,,,,,,
4,2013-03-29 17:20:58,,,,,,,,,,
3,2013-03-29 22:14:04,,,,,,,,,,
3,2013-03-31 05:02:16,,,,,,,,,,
2,2013-03-31 17:11:55,,,,,,,,,,
4,2013-04-01 17:01:06,,,,,,,,,,
null,2013-04-01 02:39:16,,,,,,,,,,
3,2013-04-02 17:31:17,,,,,,,,,,
1,2013-04-06 21:09:57,,,,,,,,,,
2,2013-04-07 04:15:38,,,,,,,,,,
2,2013-04-07 21:54:37,,,,,,,,,,
,2013-04-08 02:53:21,4.0,2,4.0,2.0,4.0,1.0,4.0,3.0,2.0,3.0
,2013-04-08 21:18:19,4.0,null,3.0,3.0,4.0,4.0,2.0,4.0,4.0,3.0
,2013-04-14 22:05:22,3.0,3,4.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0
