null,resp_time,anxious,calm,conventional,critical,dependable,disorganized,enthusiastic,experiences,reserved,sympathetic
1.0,2013-03-28 06:16:00,,,,,,,,,,
3.0,2013-03-29 21:48:18,,,,,,,,,,
5.0,2013-04-01 05:25:31,,,,,,,,,,
3.0,2013-04-01 05:26:23,,,,,,,,,,
1.0,2013-04-01 22:33:51,,,,,,,,,,
2.0,2013-04-03 23:15:43,,,,,,,,,,
4.0,2013-04-05 18:54:57,,,,,,,,,,
,2013-04-08 22:07:37,3.0,4.0,5.0,1.0,2.0,2.0,3.0,2.0,3.0,1.0
,2013-04-11 01:54:40,1.0,3.0,3.0,1.0,4.0,2.0,5.0,3.0,1.0,3.0
4.0,2013-04-18 20:00:49,1.0,5.0,4.0,1.0,4.0,1.0,1.0,3.0,5.0,1.0
