qr_code,resp_time
83,2013-03-27 04:24:24
6,2013-03-27 17:56:04
59,2013-03-28 20:04:33
77,2013-03-29 00:58:35
4,2013-03-29 18:00:49
6,2013-04-01 17:53:22
59,2013-04-09 05:54:23
81,2013-04-09 05:54:28
6,2013-04-09 05:54:33
6,2013-04-09 05:54:24
6,2013-04-09 05:54:20
78,2013-04-17 19:11:43
5,2013-04-10 17:57:37
80,2013-04-12 01:39:46
13,2013-04-11 20:55:50
6,2013-04-12 18:02:17
6,2013-04-17 19:05:24
6,2013-04-15 17:54:29
6,2013-04-18 19:53:08
6,2013-04-19 17:57:41
78,2013-04-23 00:43:20
79,2013-04-23 20:17:18
78,2013-04-24 02:02:02
77,2013-04-23 20:16:34
79,2013-04-27 00:50:12
59,2013-04-25 20:53:27
6,2013-04-26 17:59:49
77,2013-04-26 23:10:13
7,2013-05-01 17:59:17
6,2013-05-02 19:51:28
7,2013-05-03 17:56:22
79,2013-05-11 17:07:52
20,2013-05-08 18:04:55
27,2013-05-06 18:09:32
77,2013-05-11 17:07:06
80,2013-05-13 02:57:44
77,2013-05-22 22:45:18
79,2013-05-24 18:10:27
