qr_code,resp_time
16,2013-04-01 17:54:46
82,2013-03-28 00:40:39
14,2013-03-28 20:41:05
28,2013-03-28 20:51:01
14,2013-03-28 20:49:55
33,2013-03-29 17:59:07
77,2013-04-02 04:16:20
81,2013-04-03 21:45:52
80,2013-04-04 02:47:05
79,2013-04-04 03:47:31
30,2013-04-04 20:03:49
80,2013-04-04 23:03:44
81,2013-04-04 23:14:32
76,2013-04-06 00:59:12
80,2013-04-05 20:58:51
32,2013-04-05 18:03:42
81,2013-04-05 21:00:17
79,2013-04-06 00:47:36
80,2013-04-06 22:45:02
81,2013-04-08 08:50:03
77,2013-04-08 23:08:58
80,2013-04-10 04:31:52
79,2013-04-16 02:29:00
44,2013-04-10 18:03:34
80,2013-04-10 07:29:15
80,2013-04-11 04:32:05
79,2013-04-18 03:13:05
80,2013-04-12 04:13:36
80,2013-04-12 01:38:08
81,2013-04-12 11:05:39
76,2013-04-12 07:47:34
80,2013-04-12 11:04:46
80,2013-04-14 21:52:07
77,2013-04-15 08:03:34
79,2013-04-15 08:04:17
81,2013-04-15 12:00:28
78,2013-04-16 02:29:44
80,2013-04-17 05:16:04
27,2013-04-18 20:05:56
77,2013-04-18 08:00:31
