qr_code,resp_time
84,2013-03-27 01:11:21
5288113,2013-03-27 01:58:26
22,2013-03-27 17:55:56
8,2013-03-28 20:00:02
7,2013-03-29 17:57:11
38,2013-04-01 17:55:17
34,2013-04-03 18:03:43
34,2013-04-03 18:02:49
58,2013-04-04 20:03:11
21,2013-04-08 17:53:42
21,2013-04-05 17:57:45
21,2013-04-10 17:55:38
57,2013-04-11 20:03:19
57,2013-04-12 17:55:25
56,2013-04-15 18:06:05
55,2013-04-17 18:00:30
55,2013-04-18 19:56:37
55,2013-04-22 18:01:07
55,2013-04-26 18:17:46
23,2013-05-01 18:00:44
81,2013-05-07 02:10:03
71,2013-05-06 17:57:15
