qr_code,resp_time
http://www.robabdul.com,2013-03-24 08:45:22
07140424,2013-03-24 08:41:50
http://neom.us/6857897544,2013-03-24 08:44:23
http://www.twitter.com/tobiaswright,2013-03-24 08:44:14
http://www.robabdul.com,2013-03-24 08:45:33
http://www.robabdul.com,2013-03-24 08:45:28
http://www.robabdul.com,2013-03-24 08:45:25
07843101,2013-03-24 08:44:43
09491039,2013-03-24 08:44:56
https://pass.is/dpCDy7,2013-03-24 08:41:37
http://www.robabdul.com,2013-03-24 08:45:18
http://www.robabdul.com,2013-03-24 08:45:36
07608715,2013-03-24 08:44:38
http://www.robabdul.com,2013-03-24 08:45:31
11116840,2013-03-25 18:58:15
76,2013-04-02 00:12:45
77,2013-04-03 16:28:26
1,2013-03-26 21:46:48
77,2013-03-29 02:07:55
77,2013-03-27 16:08:07
75,2013-03-27 18:18:33
77,2013-03-27 23:42:26
75,2013-03-28 20:06:37
77,2013-03-29 16:14:22
76,2013-03-29 04:24:13
77,2013-03-28 22:45:50
77,2013-03-29 20:53:21
75,2013-03-29 19:00:03
76,2013-04-01 19:18:55
13,2013-04-03 18:01:43
14,2013-04-03 18:01:29
79,2013-04-03 16:27:18
75,2013-04-04 20:03:23
77,2013-04-04 23:51:43
75,2013-04-05 18:07:13
77,2013-04-05 23:12:40
75,2013-04-08 18:01:46
77,2013-04-09 01:20:17
77,2013-04-09 22:58:17
77,2013-04-10 01:33:43
75,2013-04-10 19:06:42
77,2013-04-11 17:25:41
77,2013-04-16 22:51:47
76,2013-04-11 17:27:29
75,2013-04-11 20:00:48
76,2013-04-11 17:27:35
77,2013-04-11 21:24:46
75,2013-04-12 19:07:43
77,2013-04-12 19:34:26
77,2013-04-15 17:09:16
75,2013-04-15 17:58:27
75,2013-04-17 18:08:11
75,2013-04-18 20:02:36
75,2013-04-22 19:05:21
77,2013-04-22 23:16:42
77,2013-04-23 02:58:15
77,2013-04-24 05:46:54
19,2013-04-26 02:12:11
75,2013-04-25 20:03:06
77,2013-04-30 04:38:43
77,2013-05-01 08:00:36
75,2013-05-10 18:01:31
77,2013-05-10 16:38:34
76,2013-05-11 01:29:58
77,2013-05-10 03:39:35
77,2013-05-11 00:11:21
77,2013-05-13 17:02:21
76,2013-05-18 01:19:45
