qr_code,resp_time
1,2013-03-27 02:01:58
1,2013-03-27 02:01:57
11,2013-03-27 02:02:02
1,2013-03-27 02:01:59
2,2013-03-27 02:02:00
5,2013-03-27 02:02:01
14,2013-03-27 02:02:03
75,2013-03-26 23:29:35
2,2013-03-27 02:01:59
12,2013-03-27 02:02:02
2,2013-03-27 02:01:59
4,2013-03-27 02:02:00
13,2013-03-27 02:02:02
9,2013-03-27 02:02:01
1,2013-03-27 02:01:59
10,2013-03-27 02:02:01
1,2013-03-27 02:01:57
3,2013-03-27 02:02:00
8,2013-03-27 02:02:01
1,2013-03-27 02:01:58
1,2013-03-27 02:01:58
1,2013-03-27 02:01:58
3,2013-03-27 02:02:00
7,2013-03-27 02:02:01
16,2013-03-27 02:02:03
https://play.google.com/store/apps/details?id=edu.cmu.hcii.UBICOMP2012,2013-03-27 04:12:12
34,2013-04-04 20:07:58
