qr_code,resp_time
70,2013-03-27 17:55:57
54,2013-03-29 19:06:14
69,2013-03-28 20:02:18
69,2013-03-28 20:02:14
56,2013-04-01 18:01:14
56,2013-04-03 17:59:58
56,2013-04-05 18:05:03
55,2013-04-08 18:02:43
55,2013-04-10 18:04:17
55,2013-04-11 20:05:49
56,2013-04-18 20:03:11
55,2013-04-19 18:01:34
77,2013-04-22 23:16:30
57,2013-04-22 18:04:18
56,2013-04-25 19:59:01
57,2013-04-26 18:04:07
80,2013-04-29 08:19:38
77,2013-04-30 04:03:01
56,2013-04-29 18:02:21
77,2013-04-30 00:28:01
57,2013-05-02 20:03:55
36,2013-05-03 18:11:11
36,2013-05-06 18:02:08
77,2013-05-21 18:57:48
80,2013-05-23 18:03:34
