qr_code,resp_time
83,2013-03-30 01:11:08
73,2013-03-30 01:11:11
71,2013-04-01 17:56:03
71,2013-04-03 18:02:20
81,2013-04-02 22:30:51
71,2013-04-04 19:54:33
14,2013-04-05 18:12:41
68,2013-04-08 17:53:40
81,2013-04-09 22:22:02
71,2013-04-10 18:13:32
71,2013-04-11 20:04:52
71,2013-04-12 17:41:40
72,2013-04-15 17:58:14
72,2013-04-17 17:57:29
72,2013-04-18 20:02:49
73,2013-04-29 17:59:38
73,2013-04-22 18:14:09
70,2013-04-25 20:02:35
71,2013-04-26 18:00:54
73,2013-05-01 18:03:57
73,2013-05-02 20:05:53
73,2013-05-03 17:57:40
81,2013-05-09 23:52:28
73,2013-05-10 18:06:19
71,2013-05-06 18:02:46
