location,number,resp_time,null
"43.7026033,-72.28671544",3.0,2013-03-31 07:02:41,
,,2013-03-24 10:04:12,4
,,2013-03-24 10:42:55,"43.70621142,-72.28697323"
,,2013-03-24 09:49:21,1
,,2013-03-24 10:28:14,"43.70621142,-72.28697323"
"43.70559517,-72.28821559",2.0,2013-03-27 23:46:48,
"43.70644884,-72.28820168",3.0,2013-03-30 02:07:50,
"43.70644884,-72.28820168",3.0,2013-03-30 06:25:08,
"43.70241112,-72.28788985",4.0,2013-04-01 06:26:47,
Unknown,3.0,2013-04-03 04:18:52,
"43.70173422,-72.28775943",3.0,2013-04-05 04:10:55,
"43.70336268,-72.28777469",3.0,2013-04-07 07:26:20,
"43.70238375,-72.28772441",3.0,2013-04-08 02:19:31,
"43.70238375,-72.28772441",3.0,2013-04-08 08:13:24,
"43.7050225,-72.28939767",4.0,2013-04-16 06:17:47,
"43.70278942,-72.28658418",3.0,2013-04-10 21:58:13,
"43.70278942,-72.28658418",3.0,2013-04-13 20:00:54,
"43.70278942,-72.28658418",3.0,2013-04-12 20:22:29,
"43.70278942,-72.28658418",2.0,2013-04-14 20:01:11,
"43.70278942,-72.28658418",2.0,2013-04-14 20:01:00,
"43.7050225,-72.28939767",4.0,2013-04-18 07:43:00,
"43.7050225,-72.28939767",3.0,2013-04-19 16:39:00,
"43.70539179,-72.28841197",3.0,2013-04-21 07:45:24,
"43.70376741,-72.28830285",4.0,2013-04-22 01:57:19,
"43.70324408,-72.28961597",4.0,2013-04-22 07:50:56,
"43.70324408,-72.28961597",3.0,2013-04-23 07:57:28,
"43.70151131,-72.28813703",4.0,2013-04-28 16:38:18,
"43.70431466,-72.28543542",3.0,2013-05-03 16:29:59,
"43.70274793,-72.28753523",4.0,2013-05-12 16:30:54,
"43.70318292,-72.28786899",3.0,2013-05-05 16:29:51,
"43.70200305,-72.28757046",3.0,2013-05-13 08:40:08,
"43.70290684,-72.28530452",4.0,2013-05-06 16:33:48,
"43.70721373,-72.28551043",3.0,2013-05-10 17:01:51,
Unknown,2.0,2013-05-31 02:15:20,
