null,resp_time,location,number
"43.70450324,-72.2884118",2013-03-24 10:53:52,,
"43.70450324,-72.2884118",2013-03-24 10:53:57,,
1,2013-03-24 10:53:50,,
4,2013-03-24 10:53:54,,
3,2013-03-24 10:53:56,,
,2013-03-27 20:11:35,"43.70751491,-72.28694759",3.0
,2013-03-27 18:35:00,"43.70751491,-72.28694759",4.0
,2013-03-28 20:08:17,"43.70751491,-72.28694759",3.0
,2013-03-30 01:02:58,"43.70751491,-72.28694759",5.0
,2013-03-31 07:09:07,"42.69942036,-71.43609676",5.0
,2013-03-30 06:48:59,"43.70751491,-72.28694759",6.0
