null,resp_time,location,number
3,2013-03-24 10:49:54,,
1,2013-03-24 09:52:01,,
"43.70443648,-72.28843785",2013-03-24 11:05:05,,
4,2013-03-24 10:49:56,,
"43.70443648,-72.28843785",2013-03-24 10:49:57,,
3,2013-03-24 11:05:03,,
"43.70443648,-72.28843785",2013-03-24 10:49:59,,
"43.70443648,-72.28843785",2013-03-24 11:05:07,,
"43.70443648,-72.28843785",2013-03-24 11:05:08,,
,2013-04-02 12:10:05,"43.6942702,-72.27887471",2.0
,2013-04-02 12:10:03,"43.70755244,-72.28629937",2.0
,2013-04-03 04:52:40,"43.62834565,-72.3223213",3.0
,2013-04-04 04:14:55,"43.70714459,-72.28293882",3.0
,2013-04-06 04:26:50,"43.70819283,-72.28502758",3.0
,2013-04-19 10:52:31,"43.65846416,-72.24872049",3.0
,2013-04-22 06:44:46,"43.65857427,-72.24864027",3.0
,2013-04-23 07:19:50,"43.62825468,-72.32243547",2.0
,2013-05-13 19:40:26,"43.66270982,-72.25494813",1.0
,2013-05-13 19:40:39,"43.66270982,-72.25494813",1.0
,2013-05-06 08:54:21,"43.65858208,-72.24870122",3.0
,2013-05-05 06:01:20,"43.65863,-72.24877757",3.0
,2013-05-14 17:41:48,"43.66117959,-72.25346471",3.0
,2013-05-14 17:42:43,"43.66117959,-72.25346471",3.0
,2013-06-01 02:00:13,"43.70377618,-72.28228327",2.0
