location,number,resp_time,null
"43.70407922,-72.29020632",2.0,2013-04-02 18:22:16,
"43.7086476,-72.28468996",3.0,2013-03-30 00:21:24,
,,2013-03-24 10:50:35,"43.70641952,-72.28694362"
,,2013-03-24 10:50:37,3
,,2013-03-24 10:50:43,3
,,2013-03-24 10:50:41,"43.70629505,-72.28825598"
,,2013-03-24 10:50:37,"43.70482498,-72.2884041"
,,2013-03-24 10:50:39,3
"43.70424862,-72.29040642",3.0,2013-03-30 04:41:20,
"43.70594306,-72.28855419",1.0,2013-04-04 04:21:51,
"43.70594306,-72.28855419",3.0,2013-04-04 01:14:49,
"43.70665178,-72.28678516",2.0,2013-03-27 07:35:32,
"43.70256935,-72.28790785",3.0,2013-03-28 07:20:21,
"43.70286901,-72.28809997",2.0,2013-03-28 03:06:40,
"43.70399272,-72.29051569",3.0,2013-03-29 01:29:01,
"43.70399272,-72.29051569",3.0,2013-03-29 06:57:59,
"43.70414927,-72.29076226",3.0,2013-03-29 19:04:15,
"43.70411722,-72.29047127",3.0,2013-03-31 10:15:22,
"43.70397877,-72.29023959",1.0,2013-04-01 08:45:51,
"43.70419679,-72.29044657",2.0,2013-04-03 04:35:13,
"43.70405335,-72.29024681",3.0,2013-04-06 20:00:13,
"43.70434883,-72.29055101",3.0,2013-04-07 06:29:28,
"43.70426694,-72.29029645",1.0,2013-04-05 04:34:37,
"43.70295171,-72.28573905",3.0,2013-04-08 06:22:26,
"43.70389866,-72.29006061",3.0,2013-04-16 07:00:26,
"43.70418536,-72.29015097",2.0,2013-04-09 23:56:58,
"43.70464858,-72.29198064",3.0,2013-04-11 20:24:16,
"43.70412073,-72.29025745",3.0,2013-04-11 07:54:19,
"43.70323331,-72.29018729",3.0,2013-04-13 20:06:22,
"43.70408869,-72.29048838",4.0,2013-04-14 21:44:08,
"43.70426635,-72.29067159",3.0,2013-04-19 08:04:03,
"43.70424172,-72.29101498",3.0,2013-04-21 06:20:57,
"43.70418092,-72.29045018",1.0,2013-04-22 06:00:03,
"43.70433388,-72.29020625",1.0,2013-05-09 08:36:23,
"43.70412851,-72.29030418",2.0,2013-05-12 08:11:33,
