null,resp_time,location,number
3,2013-03-24 10:37:32,,
1,2013-03-24 10:45:17,,
"43.70642048,-72.28715665",2013-03-24 10:37:30,,
"43.70644789,-72.28711304",2013-03-24 09:54:26,,
"43.70642048,-72.28715665",2013-03-24 10:37:29,,
,2013-04-03 22:05:43,"43.70566059,-72.29130704",4.0
,2013-04-04 04:01:16,"43.70619631,-72.28823087",4.0
,2013-04-03 08:25:21,"43.7056535,-72.29132724",3.0
,2013-04-01 22:41:47,"43.70661883,-72.28760805",3.0
,2013-04-03 04:02:42,"43.7056535,-72.29132724",3.0
,2013-04-02 18:01:09,"43.70546977,-72.29153142",3.0
,2013-04-03 16:59:08,"43.70566059,-72.29130704",4.0
,2013-04-03 08:25:09,"43.7056535,-72.29132724",3.0
,2013-04-04 20:51:58,"43.70619631,-72.28823087",3.0
,2013-04-05 01:48:07,"43.70549429,-72.29181405",3.0
,2013-04-05 04:00:17,"43.70263734,-72.29102803",3.0
,2013-04-05 18:43:59,"43.70572255,-72.29124291",3.0
,2013-04-06 04:23:20,"43.50783677,-72.13449058",3.0
,2013-04-07 06:03:15,"42.36112482,-71.07113958",2.0
,2013-04-07 18:47:09,"42.36112482,-71.07113958",2.0
,2013-04-08 23:24:30,"43.70560342,-72.29137243",2.0
,2013-04-06 21:59:50,"43.50783677,-72.13449058",2.0
,2013-04-08 06:00:56,"43.70599853,-72.29087445",2.0
,2013-04-09 21:52:36,"43.70566653,-72.29162127",4.0
,2013-04-10 19:52:17,"43.70355489,-72.28875143",3.0
,2013-04-10 20:08:24,"43.70355489,-72.28875143",3.0
,2013-04-11 20:02:30,"43.70349928,-72.29089432",3.0
,2013-04-18 20:35:33,"43.70557117,-72.29109324",3.0
,2013-04-12 01:47:02,"43.70234665,-72.28813935",3.0
,2013-04-12 18:00:52,"43.70234665,-72.28813935",3.0
,2013-04-12 20:22:22,"43.70234665,-72.28813935",3.0
,2013-04-13 20:33:31,"43.70462998,-72.28974619",4.0
,2013-04-14 19:53:53,"43.70500487,-72.2905778",2.0
,2013-04-14 20:53:05,"43.70500487,-72.2905778",2.0
,2013-04-16 06:10:16,Unknown,3.0
,2013-04-15 21:56:49,Unknown,3.0
,2013-04-17 07:31:49,"43.70567734,-72.29183525",3.0
,2013-04-17 23:22:47,"43.70523224,-72.29210557",4.0
,2013-04-18 06:00:39,"43.70565768,-72.29148478",4.0
,2013-04-19 06:17:15,"43.70564535,-72.29122186",3.0
,2013-04-22 06:32:34,Unknown,3.0
,2013-04-22 02:18:35,"44.26783796,-69.80648763",4.0
,2013-04-23 06:00:19,"43.70451755,-72.28952021",3.0
,2013-04-28 07:36:44,"42.37524231,-71.1246049",4.0
,2013-05-03 17:27:11,"43.70571777,-72.29145544",4.0
,2013-05-09 06:24:18,"43.70569392,-72.290703",3.0
,2013-05-13 06:00:28,"43.70614429,-72.2869262",3.0
,2013-05-25 06:01:35,Unknown,4.0
,2013-05-29 02:31:58,"43.70553515,-72.29157025",4.0
