null,resp_time,location,number
4,2013-03-24 10:17:39,,
Unknown,2013-03-24 10:43:52,,
Unknown,2013-03-24 10:29:49,,
1,2013-03-24 10:05:17,,
Unknown,2013-03-24 09:53:31,,
,2013-04-01 06:22:49,"43.01145504,-71.43604216",3.0
,2013-03-29 09:58:40,"43.70545141,-72.28303045",2.0
,2013-03-27 23:51:35,"43.70802035,-72.28348765",2.0
,2013-03-29 21:32:49,"43.70789343,-72.28376628",3.0
,2013-03-28 19:58:55,"43.70813907,-72.28399749",4.0
,2013-04-03 05:19:20,Unknown,2.0
,2013-03-30 06:01:27,"43.70550267,-72.2831871",3.0
,2013-04-01 06:22:52,"43.63632448,-72.28880593",3.0
,2013-04-01 06:22:49,"43.40062634,-72.01627429",4.0
,2013-04-01 11:34:35,"43.70548962,-72.28310369",3.0
,2013-04-04 04:45:52,"43.70703943,-72.2869256",3.0
,2013-04-06 03:05:05,"43.70652295,-72.28353758",3.0
,2013-04-05 02:23:50,"43.70567171,-72.28315625",4.0
,2013-04-07 06:47:38,"43.70548027,-72.28293906",3.0
,2013-04-07 04:21:46,Unknown,3.0
,2013-04-08 17:19:12,"43.66454128,-72.24716229",2.0
,2013-04-13 22:54:41,"43.7062465,-72.28310904",3.0
,2013-04-11 21:00:36,"43.70546486,-72.28308025",4.0
,2013-04-13 08:11:17,"43.70524211,-72.28287642",3.0
,2013-04-16 07:10:29,"43.70553921,-72.28302343",2.0
,2013-04-19 06:38:40,"43.70552167,-72.2830477",3.0
,2013-04-22 13:03:19,"43.70533036,-72.28315461",2.0
,2013-04-23 06:12:08,"43.70544746,-72.28320389",2.0
,2013-05-03 10:39:39,"43.70547626,-72.28309158",3.0
,2013-05-12 08:32:31,"43.70536903,-72.28326056",3.0
,2013-05-09 06:05:09,"43.70675386,-72.28641585",2.0
,2013-05-10 06:05:57,"43.70550636,-72.2830905",3.0
,2013-05-11 08:11:07,"43.65051289,-72.31035182",3.0
,2013-05-13 06:15:18,"43.70568311,-72.28321676",3.0
,2013-05-29 02:57:07,"43.70556611,-72.28299394",3.0
,2013-05-31 03:40:39,"43.70539723,-72.28309558",4.0
