null,resp_time,location,number
1,2013-03-24 09:51:27,,
"43.706278,-72.28878583",2013-03-24 10:42:42,,
"43.70486805,-72.28845185",2013-03-24 10:42:39,,
"43.70486805,-72.28845185",2013-03-24 10:42:40,,
,2013-03-30 06:21:15,"43.7069831,-72.28711031",3.0
,2013-03-31 06:48:50,Unknown,2.0
"43.706278,-72.28878583",2013-03-24 10:48:30,,
,2013-04-01 06:02:33,Unknown,3.0
,2013-04-03 04:05:24,"43.65180986,-72.30990188",2.0
,2013-04-04 05:23:39,"43.70856017,-72.28174284",2.0
,2013-04-05 04:32:58,"43.70672504,-72.2870343",2.0
,2013-04-08 06:17:19,"43.70650173,-72.28705275",2.0
,2013-04-06 06:10:48,"43.70663368,-72.28708155",2.0
,2013-04-07 06:01:54,"43.70654951,-72.28722688",2.0
,2013-04-09 06:13:25,"43.70676793,-72.2870234",2.0
,2013-04-13 20:38:50,"43.70691067,-72.28670488",2.0
,2013-04-10 20:06:46,"43.70650577,-72.28713836",2.0
,2013-04-11 20:08:56,"43.65196548,-72.3102879",2.0
,2013-04-12 22:08:31,"43.70667952,-72.2873341",2.0
,2013-04-14 02:32:31,"43.70691067,-72.28670488",2.0
,2013-04-14 20:37:44,"43.70655032,-72.28707265",2.0
,2013-04-15 23:18:15,"43.70655534,-72.28702434",2.0
,2013-04-17 06:11:55,"43.7065966,-72.28746486",2.0
,2013-04-18 07:36:51,"43.65177507,-72.31008393",2.0
,2013-04-21 19:13:57,"37.94400248,-121.72342483",4.0
,2013-05-03 07:04:01,"43.708084649999996,-72.28344417",2.0
,2013-05-12 06:51:17,"43.70664892,-72.28671625",2.0
,2013-05-06 06:10:20,"43.6516745,-72.31006304",2.0
,2013-05-10 07:39:14,"43.70698351,-72.28592491",2.0
,2013-05-09 08:00:49,"43.70655827,-72.28689597",2.0
,2013-05-11 08:26:14,"43.70603522,-72.28341178",2.0
,2013-05-14 09:02:24,"43.65151083,-72.31049935",2.0
,2013-05-24 07:08:28,"43.70331517,-72.2903492",2.0
,2013-05-25 08:20:09,"43.70652774,-72.28696301",2.0
,2013-05-27 02:02:27,"43.70694171,-72.28700511",2.0
,2013-05-28 04:00:18,"43.70798191,-72.28389574",2.0
,2013-05-29 02:17:06,"43.70676478,-72.28709385",2.0
