null,resp_time,location,number
"43.70638453,-72.28701541",2013-03-24 09:51:05,,
"43.70638441,-72.2870153",2013-03-24 10:49:46,,
3,2013-03-24 10:49:53,,
4,2013-03-24 10:49:48,,
1,2013-03-24 10:49:50,,
,2013-03-28 00:26:11,"43.63759451,-72.24841422",2.0
,2013-03-29 06:16:16,"43.63750239,-72.24838839",3.0
,2013-03-31 06:09:07,"43.63735709,-72.24818692",1.0
,2013-04-01 02:04:40,"43.64714305,-72.18863182",1.0
,2013-04-01 15:07:36,"43.63758924,-72.24854285",1.0
,2013-04-04 04:00:34,"43.70231248,-72.28784577",3.0
,2013-04-07 06:08:58,Unknown,4.0
,2013-04-08 06:00:50,"37.08200819,-76.38337962",3.0
,2013-04-10 20:23:06,"43.63733001,-72.24831108",3.0
,2013-04-13 17:52:55,"43.63769981,-72.24843196",4.0
,2013-04-11 20:52:29,"43.63760479,-72.24817944",1.0
,2013-04-13 22:23:54,"43.63800068,-72.25275713",3.0
,2013-04-14 20:04:16,"43.63788781,-72.24855406",1.0
,2013-04-14 06:02:30,"43.63750659,-72.24820929",1.0
,2013-04-19 08:09:31,"43.63750473,-72.24859763",3.0
,2013-04-29 08:28:05,"43.6375209,-72.24825666",1.0
,2013-04-22 06:46:00,"43.63751615,-72.24827533",1.0
,2013-05-12 15:40:48,"43.63779157,-72.24841028",1.0
