location,number,resp_time
"43.7028781,-72.29009704",4,2013-03-27 20:03:09
"43.70693132,-72.28888253",5,2013-03-29 06:01:45
"43.70742863,-72.28842649",4,2013-03-30 06:15:34
"43.70316428,-72.28958366",5,2013-03-31 06:01:24
"43.70707976,-72.28926095",4,2013-04-01 06:57:10
"43.70323119,-72.28881724",4,2013-04-03 04:01:23
"43.72349899,-72.28934052",5,2013-04-04 05:03:22
"43.70303294,-72.29061235",5,2013-04-05 04:01:29
"43.07856719,-71.47247614",4,2013-04-06 04:58:54
"43.70688139,-72.28866023",4,2013-04-10 20:15:02
"43.70715199,-72.2885498",4,2013-04-12 05:04:29
"43.70702788,-72.28909157",4,2013-04-12 20:01:20
"43.70698043,-72.2887427",5,2013-04-13 20:40:57
"43.70724046,-72.28885725",4,2013-04-16 22:24:57
"43.7037867,-72.28943352",5,2013-04-14 20:06:35
"43.70712411,-72.28877067",4,2013-04-17 06:17:02
"43.81237747,-72.18886948",5,2013-04-20 23:24:07
"43.7071141,-72.28895246",4,2013-04-21 06:13:31
"43.70635188,-72.2869814",5,2013-04-22 07:31:45
"43.70726931,-72.28898657",4,2013-04-28 06:03:06
"43.70262136,-72.29084874",4,2013-04-30 10:29:33
"43.70692093,-72.2882277",5,2013-05-03 07:27:07
"43.70696809,-72.28884744",5,2013-05-10 06:01:46
"43.70702291,-72.28833102",4,2013-05-05 06:04:02
"43.70700711,-72.28832348",5,2013-05-06 16:56:54
"43.70707271,-72.28864822",4,2013-05-14 06:00:43
"43.70542513,-72.289677",5,2013-05-11 07:07:13
"43.70705639,-72.28908191",5,2013-05-12 06:03:03
"43.70570937,-72.29025871",5,2013-05-24 06:00:14
"43.65234606,-72.31917207",5,2013-05-25 06:10:30
"43.70718501,-72.28886216",3,2013-06-01 02:56:51
"43.70485676,-72.28807261",6,2013-05-26 02:04:53
"43.70412608,-72.28996465",4,2013-05-27 02:02:37
Unknown,4,2013-05-29 03:23:10
"43.70502248,-72.28958197",4,2013-05-28 02:00:13
"43.70642722,-72.29108366",4,2013-06-03 03:21:42
