null,resp_time,location,number
"43.70651883,-72.28674013",2013-03-24 10:46:46,,
"43.70504407,-72.28850039",2013-03-24 10:37:14,,
"43.70391532,-72.28812393",2013-03-24 10:37:16,,
1,2013-03-24 10:37:18,,
"43.70629026,-72.28706922",2013-03-24 09:56:28,,
,2013-04-01 20:22:15,"41.55404933,-73.03993472",6.0
,2013-04-03 04:00:31,"43.70393297,-72.29575493",3.0
,2013-04-06 04:11:01,"43.70304486,-72.29041049",2.0
,2013-04-05 05:00:58,"43.70280446,-72.29102992",3.0
,2013-04-07 21:04:59,"44.0287685,-72.1012526",3.0
,2013-04-11 20:32:13,Unknown,2.0
,2013-04-14 20:47:06,"43.70684315,-72.28727941",2.0
,2013-04-17 06:05:10,"43.70620298,-72.28867813",3.0
,2013-04-18 06:00:11,"43.70415015,-72.29367693",3.0
,2013-04-21 06:32:47,"43.70285976,-72.28598337",2.0
,2013-04-29 17:48:58,Unknown,1.0
