location,number,resp_time,null
"43.7037725,-72.29602645",4.0,2013-03-31 07:15:00,
,,2013-03-24 10:42:21,"43.70642019,-72.28709812"
,,2013-03-24 09:47:52,"43.70642492,-72.28710024"
,,2013-03-24 10:37:24,4
,,2013-03-24 10:37:26,"43.70642019,-72.28709812"
,,2013-03-24 10:37:22,"43.70642019,-72.28709812"
"43.70377911,-72.28961632",3.0,2013-03-30 08:41:20,
"43.70167351,-72.28833149",4.0,2013-03-29 06:01:20,
"43.70581992,-72.28789232",4.0,2013-04-01 06:02:55,
"43.70412701,-72.29543193",5.0,2013-04-01 18:10:48,
"43.70375564,-72.296021",4.0,2013-04-03 04:12:28,
"43.70185971,-72.2876715",3.0,2013-04-05 04:08:00,
"43.70403059,-72.29608355",3.0,2013-04-04 05:48:03,
"43.70467136,-72.29424691",4.0,2013-04-07 06:02:46,
"43.70582114,-72.28794392",3.0,2013-04-08 06:00:59,
"43.70568599,-72.28783925",3.0,2013-04-09 01:12:01,
"43.70332015,-72.29598121",4.0,2013-04-10 20:02:16,
"43.70341924,-72.29629875",4.0,2013-04-11 20:01:53,
"43.70368617,-72.29580241",4.0,2013-04-12 20:00:13,
"43.70351337,-72.29604785",4.0,2013-04-13 21:55:10,
"43.70326794,-72.29043467",5.0,2013-04-17 07:01:15,
"43.70362837,-72.29609942",2.0,2013-04-14 20:14:47,
"43.70351032,-72.29612362",4.0,2013-04-18 06:00:17,
"43.70746347,-72.28509434",5.0,2013-04-19 06:23:37,
"43.70410502,-72.29484537",3.0,2013-04-22 06:20:35,
"43.70501854,-72.29249544",3.0,2013-04-30 07:21:26,
"43.7037887,-72.29615197",4.0,2013-04-26 18:03:43,
"43.701888339999996,-72.28851972",5.0,2013-05-03 04:33:51,
"43.70096638,-72.28858467",5.0,2013-05-11 07:08:51,
"43.70368448,-72.29611307",5.0,2013-05-14 09:11:59,
Unknown,5.0,2013-05-09 06:05:18,
"43.70583433,-72.28880318",4.0,2013-05-05 06:00:07,
Unknown,4.0,2013-05-10 06:10:37,
"43.70242394,-72.2919064",6.0,2013-05-13 13:14:28,
"43.70483061,-72.29437769",2.0,2013-06-01 02:46:55,
"43.70336841,-72.29649498",4.0,2013-05-25 06:37:07,
Unknown,3.0,2013-05-30 02:22:15,
