null,resp_time,location,number
1,2013-03-24 09:51:16,,
Unknown,2013-03-24 10:42:04,,
4,2013-03-24 10:08:09,,
Unknown,2013-03-24 10:16:31,,
,2013-04-03 16:54:20,"43.70406845,-72.28722573",2.0
,2013-03-27 02:08:21,"43.70442851,-72.28676606",3.0
,2013-03-29 07:12:11,"43.70364698,-72.28605308",3.0
,2013-04-03 05:05:54,"43.70406845,-72.28722573",2.0
,2013-03-30 07:09:43,"43.70522558,-72.29116765",3.0
,2013-03-30 22:37:00,"43.70315377,-72.28626052",3.0
,2013-03-31 15:54:16,"43.70315377,-72.28626052",4.0
,2013-03-31 19:33:26,"43.70315377,-72.28626052",3.0
,2013-04-03 05:05:54,"43.70406845,-72.28722573",3.0
,2013-04-04 15:38:15,"43.70500049,-72.28555637",3.0
,2013-04-05 04:15:01,"43.70307665,-72.28927304",3.0
,2013-04-07 00:22:25,"43.70419632,-72.28592597",3.0
,2013-04-07 16:49:38,"43.70400146,-72.28561947",4.0
,2013-04-07 16:49:42,"43.70400146,-72.28561947",4.0
,2013-04-08 06:09:13,Unknown,3.0
,2013-04-11 20:02:55,"43.70417131,-72.28591047",3.0
,2013-04-12 20:44:05,"43.7041984,-72.28652356",3.0
,2013-04-13 20:12:01,Unknown,3.0
,2013-04-16 06:00:10,"43.70596983,-72.29501146",3.0
,2013-04-19 15:02:51,"43.70394475,-72.2863293",3.0
,2013-04-28 06:59:44,"43.70395298,-72.28591488",3.0
,2013-05-03 16:09:38,"43.7028707,-72.28951833",3.0
,2013-05-10 08:58:52,"43.70272466,-72.28964384",3.0
,2013-05-05 15:39:29,"43.70270522,-72.28685093",4.0
,2013-05-06 16:01:31,"43.70414453,-72.28604036",3.0
,2013-05-05 02:33:33,"42.48235825,-76.48771688",4.0
,2013-05-13 15:27:02,"43.70393102,-72.2857803",2.0
