null,resp_time,location,number
"43.70477575,-72.28844073",2013-03-24 10:46:25,,
"43.70477575,-72.28844073",2013-03-24 10:46:23,,
4,2013-03-24 10:46:21,,
4,2013-03-24 10:46:20,,
,2013-04-03 02:11:03,"43.70687995,-72.28684036",2.0
,2013-04-02 22:14:05,"43.70687995,-72.28684036",3.0
,2013-04-03 04:07:49,"43.69228995,-72.26681751",2.0
,2013-04-04 04:44:20,"43.69220757,-72.26687248",2.0
,2013-04-04 16:14:24,"43.69207668,-72.26667703",2.0
,2013-04-05 02:21:43,"43.70647656,-72.28646693",2.0
,2013-04-05 04:31:10,"43.70653963,-72.28694217",2.0
,2013-04-07 06:42:20,"43.69252995,-72.26679213",2.0
,2013-04-07 01:59:50,"43.69204284,-72.26686288",2.0
,2013-04-08 06:06:31,"43.69245308,-72.26713397",2.0
,2013-04-09 07:03:49,"43.69230772,-72.26689566",2.0
,2013-04-10 21:42:37,"43.70905522,-72.28367829",2.0
,2013-04-11 17:04:13,"43.69231687,-72.26692115",2.0
,2013-04-13 16:49:51,"43.69215012,-72.26703486",3.0
,2013-04-12 21:15:10,"43.69213022,-72.27010971",2.0
,2013-04-11 20:59:08,"43.70752065,-72.28669805",2.0
,2013-04-15 08:29:07,"43.69250898,-72.26687713",1.0
,2013-04-16 06:53:09,"43.70711018,-72.28582147",1.0
,2013-04-16 16:28:40,"43.69226815,-72.26702755",2.0
,2013-04-17 06:09:13,"43.69206524,-72.26693223",2.0
,2013-04-19 16:59:20,"43.69231923,-72.26700025",2.0
,2013-04-20 16:33:32,"43.69222142,-72.26706862",4.0
,2013-04-21 08:46:20,"43.69234545,-72.26685624",2.0
,2013-04-29 15:12:41,"43.69198838,-72.26681867",2.0
,2013-04-23 06:23:22,"43.70957133,-72.28436521",2.0
,2013-04-22 20:17:41,"43.70957133,-72.28436521",2.0
,2013-04-25 00:29:33,"43.69935873,-72.28135033",2.0
,2013-04-23 17:43:04,"43.69227118,-72.26710539",2.0
,2013-04-25 16:29:44,"43.69221585,-72.26709452",2.0
,2013-04-27 17:10:59,Unknown,2.0
,2013-04-26 16:27:05,"43.69232314,-72.26697319",2.0
,2013-04-28 22:12:35,"43.69230343,-72.26698234",2.0
,2013-04-30 15:28:54,"43.69205554,-72.2671205",3.0
,2013-05-01 15:04:23,"43.69241334,-72.26678771",2.0
,2013-05-02 16:27:03,"43.69204957,-72.26697347",2.0
,2013-05-03 15:33:54,"43.69218699,-72.26710181",2.0
,2013-05-08 16:27:16,"43.69230186,-72.26682816",2.0
,2013-05-07 18:24:17,"43.69255276,-72.26704092",2.0
,2013-05-04 17:11:22,"43.69208378,-72.26703755",3.0
,2013-05-06 20:10:54,"43.70691341,-72.28711558",2.0
,2013-05-05 17:46:00,"43.69238395,-72.26701546",1.0
,2013-05-09 17:39:34,"43.69230186,-72.26682816",2.0
,2013-05-16 17:49:24,"43.69229577,-72.26673522",2.0
,2013-05-12 04:30:08,Unknown,2.0
,2013-05-12 17:05:53,"43.69220954,-72.26702639",1.0
,2013-05-10 17:02:22,"43.69241681,-72.26706585",2.0
,2013-05-13 17:11:13,"43.69206484,-72.26700327",2.0
,2013-05-14 17:31:42,"43.69225,-72.26698519",2.0
,2013-05-15 16:49:12,"43.69219289,-72.26671048",2.0
,2013-05-18 17:40:38,"43.6922613,-72.26687932",2.0
,2013-05-17 17:44:42,"43.69229406,-72.26664182",2.0
,2013-05-19 19:36:14,"43.69142104,-72.26941669",3.0
,2013-05-20 16:44:45,"43.69230186,-72.26692699",2.0
,2013-05-22 17:41:45,"43.69230566,-72.26694933",3.0
,2013-05-23 17:13:33,"43.69213441,-72.26712004",2.0
,2013-05-24 17:20:43,"43.69222786,-72.26719913",4.0
,2013-05-25 17:44:03,"43.69476866,-72.27943547",2.0
,2013-05-27 17:28:40,"43.69341383,-72.2733575",2.0
