location,number,resp_time,null
"43.70531824,-72.28324444",1.0,2013-03-31 23:50:39,
,,2013-03-24 10:46:59,"43.70410488,-72.28969065"
,,2013-03-24 10:47:09,"43.7065429,-72.28689776"
,,2013-03-24 10:47:01,5
,,2013-03-24 09:56:10,"43.70630823,-72.28697945"
,,2013-03-24 10:46:57,"43.70499841,-72.28873871"
"43.70540211,-72.28318209",2.0,2013-03-27 18:47:55,
"43.70525296,-72.28308162",1.0,2013-03-27 18:47:57,
"43.70529598,-72.28322475",3.0,2013-03-28 00:09:22,
"43.70530653,-72.2831011",2.0,2013-03-31 23:50:34,
"43.70535266,-72.28309587",2.0,2013-03-31 23:50:45,
"43.70535266,-72.28309587",1.0,2013-03-31 23:50:42,
"43.70531274,-72.28305168",1.0,2013-04-01 07:58:25,
"43.70528579,-72.28310255",2.0,2013-04-07 18:12:12,
"43.70532086,-72.2832369",1.0,2013-04-05 17:29:51,
"43.7053649,-72.28294338",1.0,2013-04-16 06:20:26,
"43.705293,-72.28306177",2.0,2013-04-09 17:05:28,
"43.70757708,-72.28323056",1.0,2013-04-13 20:00:18,
"43.70523965,-72.28314435",2.0,2013-04-18 07:50:28,
"43.70535349,-72.28311717",2.0,2013-04-21 09:29:33,
"43.70529561,-72.28303611",2.0,2013-04-22 06:46:44,
"43.70520444,-72.28312961",1.0,2013-04-23 06:03:42,
"43.70579533,-72.28356911",2.0,2013-05-12 19:35:04,
"43.70537463,-72.28318556",1.0,2013-05-06 16:24:30,
"43.70532924,-72.28318456",1.0,2013-05-15 17:18:23,
